gaia_dr3,name,ra_deg,dec_deg,parallax_mas,e_parallax_mas,G,bp_rp,sdss_id,spectrum,snr,B_split_Ha_MG,e_B_split_Ha_MG,B_split_Hb_MG,e_B_split_Hb_MG,Ha_sigma_minus_A,Ha_pi_A,Ha_sigma_plus_A,Ha_shift_A,Ha_asym_A,Hb_sigma_minus_A,Hb_pi_A,Hb_sigma_plus_A,Hb_shift_A,Hb_asym_A,snowwhite_class,simbad_type,mwdd_spectype,note
4680104332056706304,GALEX J035849.5-605233,59.706693,-60.875923,3.348,0.123,18.697,-0.212,91813325,coadd,9.0,6.04,0.16,6.05,0.06,6443.6,6564.5,6686.7,-0.1,1.3,4784.2,4851.3,4917.8,-11.4,-0.5,DAH/DA,WD*/DA,DA,
4800536829945050752,GALEX J052137.6-425430,80.406995,-42.908481,2.974,0.251,19.525,-0.18,92784135,coadd,7.7,6.93,0.07,7.08,0.05,6427.7,6565.7,6706.7,1.1,2.9,4767.9,4853.9,4924.3,-8.8,-15.6,DA/DAH,WD?,,
4187365308538865792,Gaia DR3 4187365308538865792,291.914886,-12.498716,5.898,0.345,19.421,0.207,86043551,coadd,5.2,5.47,0.08,5.05,0.09,6456.2,6565.5,6676.2,0.9,1.4,4799.6,4853.7,4911.1,-9.0,3.3,DA/DAH,WD*/DA,DA,
375892788968158848,GALEX J004807.2+433940,12.030267,43.66131,4.33,0.216,19.121,0.073,117133411,coadd,9.7,8.76,0.04,3.74,0.15,6391.7,6548.2,6744.2,-16.4,39.4,4838.2,4857.4,4920.7,-5.3,44.2,DAH,WD*/DA:,DA:,
4833309388918586624,GALEX J033920.8-475633,54.837008,-47.942659,3.789,0.32,19.696,-0.098,93009757,coadd,5.2,7.27,0.08,7.36,0.09,6420.2,6565.7,6712.7,1.0,1.6,4763.4,4853.6,4926.0,-9.1,-17.7,DA/DAH,WD?,,
6465559379883395328,GALEX J213436.2-521245,323.651264,-52.2129,2.992,0.239,19.088,-0.412,110590871,coadd,9.6,4.16,0.06,4.68,0.05,6486.7,6566.2,6654.2,1.6,8.6,4805.2,4859.1,4908.6,-3.6,-4.4,DA,WD*/DA,DA,
5665371272869153152,Gaia DR3 5665371272869153152,145.361956,-20.508979,2.686,0.393,19.297,-0.279,100530586,coadd,7.7,8.5,0.3,4.15,0.08,6415.0,6552.7,6757.2,-11.9,66.8,4835.0,4853.0,4926.8,-9.7,55.9,DA,WD?,,
3327361677328480256,Gaia DR3 3327361677328480256,96.829103,9.557573,5.179,0.138,17.835,-0.27,76484599,visit MJD 59268,15.3,3.57,0.13,3.65,0.08,6492.4,6561.4,6636.0,-3.2,5.7,4821.6,4857.4,4902.3,-5.2,9.1,DA,WD*/DA,DA,
4679463733391272448,GALEX J040038.6-615458,60.161433,-61.916318,6.839,0.146,18.514,0.154,91808984,coadd,13.2,4.28,0.03,4.22,0.02,6477.8,6565.4,6650.1,0.8,-3.0,4810.8,4858.7,4904.0,-4.0,-2.6,DA,WD*/DA,DA,common proper motion with Gaia DR3 4679466653969618816 (G 9.83) at 86 arcsec
3290180587821828480,GALEX J050006.8+080244,75.028716,8.045709,7.118,0.229,18.906,0.248,76263172,coadd,10.3,5.3,0.09,5.1,0.04,6459.4,6563.0,6672.7,-1.6,6.1,4797.3,4856.2,4910.0,-6.5,-5.1,DA,WD*/DA,DA,
