lab_vac,center,v,e_v,depth,depth_snr,sigma_A
3921.17,3921.56,29,10,0.316,43.2,4.53
4076.68,4076.71,2,9,0.264,34.7,3.74
4268.4,4268.2,-14,13,0.252,40.1,6.21
4374.51,4373.96,-38,12,0.219,29.0,4.31
4620.89,4619.79,-71,25,0.126,18.5,6.23
5891.92,5892.36,23,14,0.263,20.3,4.9
6581.69,6581.74,2,17,0.227,17.2,5.51
6783.11,6783.82,31,33,0.13,9.6,6.19
7236.73,7235.28,-60,23,0.24,15.5,7.11
