gaia_dr3,dataset,identifier,date_utc,mjd,ew_A,ew_err_A,amp_rel_ref,amp_err,v_blue_kms,v_red_kms,v_gauss_kms,fwhm_gauss_kms
1283510882895711872,DESI-DR1,39632931110519992,2022-06-05,59735.243,23.52,2.48,1.146,0.055,,,99,817
1283510882895711872,BOSS-DR17,4356321232809121792,2010-03-18,55273.381,19.23,3.76,0.633,0.096,,,-54,654
1283510882895711872,DESI-DR1,39632931110519992,2021-05-20,59354.252,37.35,3.74,1.259,0.097,,,18,937
