oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
591113100027315,44950784,2458204.0057076877,58203.5078472,16.6183281,0.0197475534,0,zg,299.8042902,22.1478766,0.903999984,-0.0430000015,20180326507847,591,0xd,0x1,20.8999996,26.1338844,0.0195081178,-0.0558851436,4.0953696e-06,30,1.38100004,1
591113100027315,45151172,2458206.0097105587,58205.5117245,16.609766,0.0197071973,0,zg,299.8042994,22.1478552,0.875999987,-0.00400000019,20180328511713,591,0xd,0x1,20.4899998,26.1425056,0.0227814987,-0.0733430684,5.62265268e-06,30,1.32200003,1
591113100027315,45153164,2458206.029630838,58205.5316435,16.6287117,0.0197970271,0,zg,299.8042811,22.1478605,0.43900001,0.00100000005,20180328531632,591,0xd,0x1,19.5400009,26.1478405,0.0284405705,-0.0725196749,8.81919732e-06,30,1.22099996,1
591113100027315,45248486,2458206.9829090564,58206.4848611,16.6091881,0.0197044872,0,zg,299.8042889,22.147873,1.14600003,-0.00300000003,20180329484850,591,0xd,0x1,19.8199997,26.1672535,0.024628289,-0.0808846503,6.51940582e-06,30,1.49600005,1
591113100027315,45252690,2458207.024960383,58206.5269097,16.6225204,0.0197674595,0,zg,299.8042862,22.1478785,0.432000011,-0.00400000019,20180329526898,591,0xd,0x1,20.2999992,26.1853905,0.0218759421,-0.0692012161,5.1534571e-06,30,1.23000002,1
591113100027315,45350745,2458208.0055673853,58207.5074537,16.6268196,0.0197879635,0,zg,299.804279,22.1478751,0.639999986,0.0,20180330507431,591,0xd,0x1,19.8700008,26.1762161,0.0252313148,-0.0620804802,6.83023745e-06,30,1.31500006,1
591113100027315,45447008,2458208.9682570877,58208.470081,16.5742607,0.0195439216,32768,zg,299.8042496,22.1478805,0.615999997,-0.00899999961,20180331470058,591,0xd,0x1,17.8600006,24.8373528,0.0500293449,-0.0282097422,0.000134566668,30,1.58399999,1
591113100027315,45550839,2458210.0066352747,58209.5083912,16.5951748,0.0196393058,0,zg,299.8043058,22.1478711,0.981999993,0.063000001,20180401508368,591,0xd,0x1,19.6700001,26.0919514,0.0290177576,-0.036752753,9.02272859e-06,30,1.27999997,1
591113100027315,45651184,2458211.01015064,58210.5118403,16.6243782,0.019776307,0,zg,299.8042713,22.1478754,0.799000025,-0.0769999996,20180402511829,591,0xd,0x1,19.9400005,26.1586952,0.0239317715,-0.0464367978,6.21596791e-06,30,1.24899995,1
591113100027315,45748599,2458211.984370571,58211.4859954,16.60812,0.0196994804,0,zg,299.8043146,22.1478516,0.829999983,-0.0209999997,20180403485972,591,0xd,0x1,19.2000008,26.0768147,0.0334259905,-0.0423910208,1.1971837e-05,30,1.38199997,1
