###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57407.378417 -21.410  3.808   -10   38 o  0   1.01  90.93210 -38.15298  6664.14  4932.92 3.51 3.30  83.8 -0.494 18.44 19.39 02a57407o0306o
57407.398984 -21.466  4.263    -9   40 o  0   1.26  90.93210 -38.15298  6950.73  3188.43 4.15 3.96  17.1 -0.442 18.34 19.42 02a57407o0336o
57410.337389 -22.115 11.250    -5   58 o  0   0.97  90.93210 -38.15298  4619.37  6353.72 3.89 3.53 -85.7 -0.449 18.01 18.84 02a57410o0243o
57410.357792 -18.258  0.320  -181   58 o  0   1.03  90.93210 -38.15298  5798.68  3773.38 3.84 3.73 -13.5 -0.443 18.03 18.70 02a57410o0274o
57410.378528 -24.752 119.000    -0   54 o  0   1.13  90.93210 -38.15298  6665.90  4933.34 3.97 3.77  85.3 -0.431 17.95 18.65 02a57410o0305o
57410.399249  19.933  1.565    39   60 o  0   0.94  90.93210 -38.15298  6953.72  3189.30 3.78 3.65   4.4 -0.458 18.01 18.62 02a57410o0335o
57411.338523  18.912  0.672    99   66 o  0   1.04  90.93210 -38.15298  4609.44  6357.31 3.61 3.21 -82.8 -0.514 17.99 18.76 02a57411o0243o
57411.359569 -19.793  1.386   -44   61 o  0   0.97  90.93210 -38.15298  5792.04  3773.89 3.61 3.54  -0.3 -0.532 17.99 18.59 02a57411o0274o
57411.372285 -20.593  2.471   -21   52 o  0   1.19  90.93210 -38.15298  6654.66  4932.54 3.62 3.46  86.5 -0.496 17.97 18.57 02a57411o0293o
57411.379848 -19.560  1.061   -54   58 o  0   1.14  90.93210 -38.15298  6940.24  3189.49 3.71 3.51  20.2 -0.513 18.01 18.59 02a57411o0305o
57412.337995  20.382  2.039    26   52 o  0   1.05  90.93210 -38.15298  4609.97  6357.26 3.95 3.67 -74.8 -0.493 18.13 19.22 02a57412o0192o
57412.358711 -20.329  1.846   -27   50 o  0   1.10  90.93210 -38.15298  5793.06  3773.11 4.04 3.87 -22.6 -0.498 18.13 18.99 02a57412o0223o
57412.371464 -19.261  0.736   -72   53 o  0   1.05  90.93210 -38.15298  6655.68  4931.08 3.98 3.78  86.9 -0.480 18.08 18.94 02a57412o0242o
57412.378998 -18.656  0.432  -125   54 o  0   1.09  90.93210 -38.15298  6941.93  3188.28 4.00 3.77   5.5 -0.485 18.14 18.96 02a57412o0254o
57416.332311 -19.917  0.625   -39   24 o  0   1.07  90.93210 -38.15298  6354.04  4567.22 3.71 3.44   1.9 -0.471 18.81 20.25 02a57416o0234o
57416.346029 -20.742  1.114   -18   20 o  0   1.35  90.93210 -38.15298  6071.85  3983.74 3.62 3.59   4.6 -0.457 18.92 20.39 02a57416o0254o
57416.360774 -19.194  0.351   -76   27 o  0   1.22  90.93210 -38.15298  7219.99  3398.80 3.60 3.48  29.9 -0.478 18.84 20.18 02a57416o0275o
57416.375026 -19.629  0.559   -51   29 o  0   1.16  90.93210 -38.15298  6946.52  3189.33 3.68 3.52  12.6 -0.474 18.75 20.04 02a57416o0295o
57417.327300 -20.192  0.952   -30   29 o  0   1.01  90.93210 -38.15298  5944.74  4118.31 3.98 3.55  -1.9 -0.454 18.75 20.18 02a57417o0226o
57417.343361 -20.542  1.216   -22   27 o  0   0.77  90.93210 -38.15298  5662.88  3537.43 3.80 3.64 -16.1 -0.451 18.86 20.30 02a57417o0249o
57417.359009 -19.304  0.383   -69   26 o  0   1.00  90.93210 -38.15298  6825.92  2954.84 4.00 3.73   1.6 -0.436 18.86 20.36 02a57417o0270o
57417.374425 -20.922  1.500   -16   23 o  0   1.12  90.93210 -38.15298  6949.10  3186.41 3.87 3.67  10.1 -0.447 18.90 20.40 02a57417o0290o
57423.317496  21.417  2.000    10   20 c  0   0.89  90.93210 -38.15298  5794.71  4180.27 3.91 3.82   6.2 -0.391 19.27 21.16 02a57423o0176c
57423.332704 -24.007 20.500    -1   19 c  0   0.92  90.93210 -38.15298  5543.45  3605.01 4.07 3.99 -23.0 -0.380 19.31 21.25 02a57423o0200c
57423.348561  20.920  1.135    16   18 c  0   0.95  90.93210 -38.15298  6732.84  3024.50 3.94 3.85  -6.2 -0.391 19.36 21.27 02a57423o0224c
57423.364034 -22.490  4.750    -4   17 c  0   1.15  90.93210 -38.15298  6977.13  3138.85 4.11 4.00   6.0 -0.386 19.33 21.26 02a57423o0248c
57429.301955  21.728  2.375     7   18 c  0   1.01  90.93210 -38.15298  5917.24  4227.00 4.09 3.89   0.2 -0.439 19.39 21.39 02a57429o0226c
57429.317361  20.565  0.854    22   18 c  0   0.77  90.93210 -38.15298  5666.01  3652.12 4.06 3.90 -13.5 -0.431 19.47 21.45 02a57429o0251c
57429.332775 -20.264  0.639   -28   18 c  0   1.03  90.93210 -38.15298  6838.36  3071.10 4.19 3.97   6.0 -0.425 19.44 21.43 02a57429o0276c
57429.348237 -20.773  1.053   -18   19 c  0   0.96  90.93210 -38.15298  6960.93  3147.75 4.23 4.00   3.8 -0.409 19.41 21.40 02a57429o0301c
57430.302321 -20.397  0.717   -25   18 c  0   1.22  90.93210 -38.15298  5777.20  4021.04 3.95 3.78  88.5 -0.448 19.28 21.21 02a57430o0189c
57430.317739 -23.139 14.000    -2   28 c  0   1.14  90.93210 -38.15298  5526.02  3426.46 4.20 3.29  82.6 -0.459 18.87 20.81 02a57430o0214c
57430.333136 -20.554  1.219   -22   27 c  0   1.00  90.93210 -38.15298  6714.40  2865.01 4.21 3.50  86.6 -0.424 18.94 20.94 02a57430o0239c
57430.348534 -21.975  4.625    -6   27 c  0   1.26  90.93210 -38.15298  6957.17  3134.00 4.43 3.88 -88.3 -0.368 18.92 21.02 02a57430o0264c
57438.303736  21.438  5.286    10   51 o  0   0.82  90.93210 -38.15298  6099.17  4350.17 3.69 3.54  62.5 -0.518 18.20 19.04 02a57438o0152o
57438.322197 -19.107  0.545   -83   45 o  0   0.88  90.93210 -38.15298  5831.47  3771.68 3.71 3.62  83.9 -0.464 18.20 19.00 02a57438o0171o
57438.338158  20.695  2.682    19   51 o  0   0.84  90.93210 -38.15298  6978.74  3186.60 3.78 3.66  68.7 -0.459 18.17 18.96 02a57438o0202o
57438.353576  20.569  2.392    22   51 o  0   0.91  90.93210 -38.15298  6920.87  3168.13 3.70 3.56  82.6 -0.465 18.14 18.89 02a57438o0232o
57439.290188 -19.883  1.321   -40   53 o  0   0.72  90.93210 -38.15298  6160.62  4120.29 3.78 3.62  21.4 -0.493 18.10 18.86 02a57439o0150o
57439.305912 -21.916  8.692    -6   54 o  0   1.02  90.93210 -38.15298  5878.84  3540.25 3.91 3.65  -5.7 -0.502 18.09 18.84 02a57439o0180o
57439.322208 -21.137  4.040   -13   52 o  0   1.36  90.93210 -38.15298  7027.32  2954.11 4.13 3.70   7.9 -0.515 18.07 18.81 02a57439o0211o
57439.337948  20.674  2.500    20   49 o  0   1.15  90.93210 -38.15298  6921.55  3168.70 3.94 3.69  11.6 -0.516 18.05 18.74 02a57439o0241o
57446.291684  21.699  3.647     8   28 o  0   0.91  90.93210 -38.15298  6031.43  4429.78 3.55 3.41  74.9 -0.502 18.93 20.41 02a57446o0082o
57446.307720 -19.754  0.552   -46   25 o  0   0.96  90.93210 -38.15298  5750.45  3847.65 3.49 3.47  74.9 -0.501 18.97 20.46 02a57446o0114o
57446.324265  20.540  1.240    22   27 o  0   0.86  90.93210 -38.15298  6914.04  3262.68 3.64 3.50  48.3 -0.511 18.97 20.49 02a57446o0147o
57446.340791 -20.069  0.811   -34   28 o  0   0.93  90.93210 -38.15298  6915.68  3165.19 3.73 3.56  19.5 -0.523 18.95 20.46 02a57446o0180o
57447.286264 -21.244  2.080   -12   24 o  0   1.08  90.93210 -38.15298  6201.88  4561.00 3.69 3.62 -85.0 -0.488 18.97 20.58 02a57447o0172o
57447.302958  22.285  5.111     4   23 o  0   1.13  90.93210 -38.15298  5919.14  3980.40 3.90 3.76 -12.1 -0.508 18.99 20.64 02a57447o0205o
57447.320088  22.272  6.333     4   28 o  0   0.96  90.93210 -38.15298  7083.81  3393.85 3.99 3.86  12.3 -0.484 18.98 20.62 02a57447o0239o
57447.336584 -20.251  0.931   -29   27 o  0   0.82  90.93210 -38.15298  6919.17  3164.36 4.06 3.75   9.6 -0.493 18.97 20.58 02a57447o0272o
57453.277280 -20.275  0.677   -28   19 c  0   1.04  90.93210 -38.15298  6060.82  4381.65 3.90 3.77  54.6 -0.482 19.31 21.16 02a57453o0120c
57453.294120 -19.795  0.400   -44   18 c  0   1.32  90.93210 -38.15298  5778.31  3801.20 3.92 3.85  -3.4 -0.485 19.30 21.15 02a57453o0154c
57453.310475 -21.014  1.367   -14   20 c  0   1.08  90.93210 -38.15298  6927.47  3216.64 4.10 3.90  26.4 -0.460 19.30 21.15 02a57453o0187c
57453.326648 -21.428  1.905   -10   19 c  0   1.40  90.93210 -38.15298  6917.23  3158.60 3.99 3.82  10.6 -0.462 19.32 21.17 02a57453o0220c
57457.265631 -22.115  4.750    -5   25 c  0   1.23  90.93210 -38.15298  6107.19  4306.78 4.32 3.59 -83.9 -0.477 19.04 20.94 02a57457o0120c
57457.284194  22.846  9.250     3   24 c  0   1.14  90.93210 -38.15298  5840.68  3725.22 4.41 3.87 -69.5 -0.459 19.08 21.02 02a57457o0157c
57457.302059 -19.560  0.487   -54   26 c  0   0.95  90.93210 -38.15298  6988.30  3140.68 4.46 4.19 -62.8 -0.436 19.10 21.10 02a57457o0193c
57457.324591 -23.023 12.333    -2   28 c  0   0.88  90.93210 -38.15298  6917.69  3160.42 4.60 3.98 -50.7 -0.418 19.01 21.01 02a57457o0225c
57461.250067 -18.307  0.783  -173  135 c  0   1.03  90.93210 -38.15298  6064.54  4419.35 4.07 3.86  62.7 -0.523 16.87 18.05 02a57461o0082c
57461.267506 -17.332  0.780  -424  330 c  0   1.13  90.93210 -38.15298  5779.53  3836.50 3.85 3.81 -21.8 -0.499 16.16 17.11 02a57461o0117c
57461.284662 -17.956  0.898  -239  214 c  0   0.95  90.93210 -38.15298  6927.68  3252.60 3.94 3.78  22.1 -0.501 16.45 17.61 02a57461o0152c
57461.301332  20.467  1.889    24   45 c  0   1.03  90.93210 -38.15298  6920.79  3157.39 4.14 3.97   7.9 -0.453 18.40 19.78 02a57461o0186c
57465.254201 -19.001  0.550   -91   50 o  0   1.27  90.93210 -38.15298  6222.80  4170.37 3.72 3.61  73.1 -0.525 18.19 19.14 02a57465o0095o
57465.271674  21.910  8.750     6   55 o  0   0.84  90.93210 -38.15298  5944.63  3588.52 3.73 3.67   1.4 -0.525 18.20 19.14 02a57465o0130o
57465.287798  19.735  1.120    46   52 o  0   1.20  90.93210 -38.15298  7093.83  3002.95 4.15 3.81  12.5 -0.542 18.18 19.11 02a57465o0163o
57465.303876  22.612 16.000     3   52 o  0   0.96  90.93210 -38.15298  6914.02  3164.40 4.01 3.80   3.0 -0.539 18.14 19.05 02a57465o0196o
57469.244229  20.064  2.209    34   76 o  0   0.89  90.93210 -38.15298  7146.30  3021.27 5.16 4.86  19.7 -0.457 17.72 18.70 02a57469o0081o
57469.258699  20.573  3.303    21   71 o  0   1.12  90.93210 -38.15298  6901.98  3157.81 4.57 4.22  13.5 -0.524 17.87 18.70 02a57469o0111o
57477.233758 -20.233  1.344   -29   39 o  0   0.99  90.93210 -38.15298  6211.81  4150.83 3.76 3.60  81.3 -0.525 18.45 19.60 02a57477o0055o
57477.247160 -19.593  0.577   -53   30 o  0   0.98  90.93210 -38.15298  5942.95  3568.23 4.07 3.94 -13.4 -0.508 18.72 20.21 02a57477o0082o
57477.263530 -20.632  1.743   -20   35 o  0   0.94  90.93210 -38.15298  7093.10  2980.80 4.25 3.97  15.0 -0.510 18.69 20.17 02a57477o0115o
57477.280734 -21.467  4.200    -9   40 o  0   1.01  90.93210 -38.15298  6914.23  3155.27 4.46 4.23  -1.2 -0.470 18.57 20.07 02a57477o0150o
57675.616377  19.519  0.624    56   35 o  0   1.12  90.93210 -38.15298  7527.22  3340.71 3.57 3.26 -33.0 -0.449 18.57 19.66 02a57675o0837o
57675.630904  21.299  2.500    11   27 o  0   0.90  90.93210 -38.15298  7512.79  3301.99 3.55 3.31 -77.9 -0.446 18.88 20.18 02a57675o0864o
57675.645262 -18.390  0.303  -160   48 o  0   1.41  90.93210 -38.15298  7575.49  3377.72 3.56 3.20 -78.5 -0.457 18.12 18.66 02a57675o0891o
57687.581792  21.195  2.074    12   25 c  0   1.14  90.93210 -38.15298  7298.68  5582.86 3.76 3.31 -24.0 -0.411 18.86 20.51 02a57687o0792c
57687.595880  20.613  0.967    21   20 c  0   1.02  90.93210 -38.15298  7281.54  5546.63 3.57 3.40 -58.4 -0.430 19.21 20.83 02a57687o0819c
57687.609765  22.279  4.077     4   18 c  0   1.13  90.93210 -38.15298  7341.99  5623.67 3.79 3.50 -88.1 -0.415 19.30 20.95 02a57687o0846c
57691.582686 -22.491  4.444    -4   16 c  0   1.50  90.93210 -38.15298  6012.82  3312.97 4.13 4.07 -84.5 -0.357 19.37 21.32 02a57691o0368c
57691.596590 -21.403  1.800   -10   18 c  0   1.08  90.93210 -38.15298  5998.46  3275.69 4.13 3.99 -88.4 -0.362 19.37 21.28 02a57691o0395c
57691.611028  20.746  1.025    18   19 c  0   0.82  90.93210 -38.15298  6061.18  3352.03 4.41 4.30  85.3 -0.346 19.27 21.21 02a57691o0423c
57691.625431  20.870  0.955    16   16 c  0   1.54  90.93210 -38.15298  6079.04  3238.90 3.94 3.79 -86.3 -0.373 19.36 21.14 02a57691o0451c
57699.580280  20.705  1.128    19   21 c  0   1.06  90.93210 -38.15298  6567.81  5630.72 3.71 3.50  80.8 -0.407 19.11 20.74 02a57699o0768c
57703.552471 -20.127  0.765   -32   25 o  0   1.12  90.93210 -38.15298  5035.73  4198.34 3.46 3.36 -81.9 -0.444 18.87 20.01 02a57703o0726o
57703.565955 -19.811  0.458   -43   20 o  0   1.32  90.93210 -38.15298  5022.70  4160.28 3.46 3.37 -85.8 -0.438 19.12 20.51 02a57703o0752o
57703.579907 -20.347  0.778   -26   20 o  0   0.81  90.93210 -38.15298  5069.52  4255.95 3.44 3.32 -85.7 -0.449 19.23 20.73 02a57703o0779o
57707.544320  20.454  2.079    24   50 o  0   1.31  90.93210 -38.15298  5468.46  2744.31 3.79 3.77 -41.5 -0.415 18.09 18.77 02a57707o0688o
57707.556655 -22.131  9.500    -5   48 o  0   1.18  90.93210 -38.15298  5456.47  2707.16 3.73 3.67 -73.3 -0.423 18.15 18.76 02a57707o0712o
57707.566933  22.131  9.786     5   50 o  0   1.19  90.93210 -38.15298  5518.20  2783.39 3.76 3.66 -11.9 -0.413 18.13 18.75 02a57707o0732o
57707.583913 -20.366  2.125   -26   55 o  0   0.96  90.93210 -38.15298  5535.90  2665.47 3.70 3.64 -35.1 -0.412 18.13 18.73 02a57707o0765o
57711.531443 -22.063  7.583    -5   41 o  0   1.31  90.93210 -38.15298  7491.38  5792.65 3.83 3.56  82.8 -0.410 18.19 19.08 02a57711o0590o
57711.544351  19.520  0.613    56   35 o  0   1.35  90.93210 -38.15298  7477.49  5756.11 3.75 3.48  84.3 -0.416 18.45 19.50 02a57711o0615o
57735.464470 -21.192  4.676   -12   57 o  0   0.98  90.93210 -38.15298  6236.53  4085.83 3.59 3.55  79.4 -0.412 18.04 18.58 02a57735o0434o
57735.477369 -19.920  1.376   -39   54 o  0   1.14  90.93210 -38.15298  6221.96  4047.26 3.73 3.50  82.3 -0.420 18.05 18.59 02a57735o0459o
57735.490695  19.968  1.463    37   55 o  0   0.87  90.93210 -38.15298  6283.92  4128.63 3.65 3.44  84.8 -0.428 18.07 18.56 02a57735o0485o
57747.437403  20.517  0.815    23   18 c  0   0.96  90.93210 -38.15298  4729.38  3791.64 4.14 4.10   4.1 -0.368 19.45 21.49 02a57747o0502c
57747.450367  24.918 38.000     0   15 c  0   1.46  90.93210 -38.15298  4715.63  3752.78 4.05 3.97  84.9 -0.368 19.50 21.49 02a57747o0528c
57747.463326   0.000 20.806     0   17 c  0   1.21  90.93210 -38.15298  4761.58  3833.23 4.20 4.10  -1.1 -0.361 19.45 21.48 02a57747o0554c
57755.423408  20.384  0.577    26   15 c  0   1.09  90.93210 -38.15298  6898.44  5105.80 3.75 3.51  81.5 -0.395 19.65 21.61 02a57755o0442c
57755.436448  21.831  2.050     7   14 c  0   1.12  90.93210 -38.15298  6869.18  5068.38 3.80 3.55  80.0 -0.391 19.63 21.61 02a57755o0467c
57763.400685 -20.008  1.178   -36   42 o  0   0.90  90.93210 -38.15298  4562.86  3649.62 3.64 3.55 -89.0 -0.425 18.33 19.06 02a57763o0292o
57763.413540 -19.130  0.447   -81   36 o  0   1.40  90.93210 -38.15298  4534.99  3610.08 3.63 3.56 -82.3 -0.421 18.31 19.05 02a57763o0317o
57767.388567 -21.990  6.529    -6   38 o  0   1.19  90.93210 -38.15298  6742.04  3481.68 3.62 3.45  81.6 -0.427 18.39 19.19 02a57767o0355o
57767.404172 -19.370  0.596   -65   39 o  0   1.14  90.93210 -38.15298  6728.53  3442.37 3.60 3.40  83.9 -0.429 18.40 19.17 02a57767o0385o
57771.386195 -23.186 12.400    -2   24 o  0   1.12  90.93210 -38.15298  4606.15  2135.44 3.73 3.66 -69.6 -0.420 19.00 20.43 02a57771o0369o
57771.400958 -21.008  1.711   -14   24 o  0   1.16  90.93210 -38.15298  4592.75  2095.46 3.69 3.64 -62.2 -0.425 18.89 20.25 02a57771o0397o
57779.364732  21.952  2.529     6   15 c  0   0.98  90.93210 -38.15298  6369.09  5446.34 3.80 3.56  87.1 -0.399 19.61 21.59 02a57779o0289c
57783.359115  20.649  0.887    20   18 c  0   0.84  90.93210 -38.15298  5462.00  3627.00 3.85 3.75 -88.4 -0.403 19.47 21.38 02a57783o0274c
57787.317718  22.530  7.125     4   25 c  0   1.23  90.93210 -38.15298  4663.19  2407.60 4.32 4.18  -0.3 -0.367 18.96 20.57 02a57787o0199c
57787.333494 -19.757  0.528   -45   24 c  0   1.18  90.93210 -38.15298  4633.80  2367.06 4.14 4.10  16.5 -0.379 19.02 20.61 02a57787o0229c
57787.350293  20.010  0.667    36   24 c  0   1.14  90.93210 -38.15298  4696.39  2443.81 4.00 3.98 -88.4 -0.387 19.05 20.63 02a57787o0262c
57787.360539  20.615  1.235    21   26 c  0   0.92  90.93210 -38.15298  4714.30  2327.25 4.01 4.00 -47.4 -0.384 19.08 20.68 02a57787o0283c
57799.319633 -20.053  0.564   -35   20 o  0   1.09  90.93210 -38.15298  6245.58  3127.98 3.75 3.58  84.7 -0.411 19.25 20.91 02a57799o0200o
57800.293884 -18.933  0.390   -97   38 o  0   0.94  90.93210 -38.15298  2875.46  5073.73 3.98 3.91 -37.7 -0.634 18.67 20.47 01a57800o0126o
57800.308654 -21.337  3.083   -11   33 o  0   1.04  90.93210 -38.15298  2891.00  5112.26 3.87 3.81 -43.3 -0.642 18.71 20.48 01a57800o0154o
57800.323404  21.765  5.250     7   38 o  0   0.87  90.93210 -38.15298  2829.38  5037.55 3.92 3.84 -74.0 -0.625 18.71 20.45 01a57800o0182o
57800.338211 -18.893  0.370  -101   37 o  0   1.02  90.93210 -38.15298  2815.78  5153.78 4.10 3.95 -76.3 -0.601 18.62 20.35 01a57800o0210o
57803.346789  20.253  0.640    29   18 c  0   0.99  90.93210 -38.15298  7457.01  3836.27 3.90 3.64  86.6 -0.380 19.48 21.43 02a57803o0244c
57803.358991  19.972  0.500    37   19 c  0   0.87  90.93210 -38.15298  7428.27  3797.36 3.89 3.67  87.9 -0.379 19.49 21.44 02a57803o0268c
57803.370631  22.769  6.571     3   19 c  0   0.94  90.93210 -38.15298  7489.88  3852.46 3.91 3.72  88.1 -0.383 19.46 21.43 02a57803o0291c
57807.329643  22.475  4.400     4   16 c  0   1.12  90.93210 -38.15298  4740.19  5521.42 3.81 3.66  84.5 -0.378 19.49 21.45 02a57807o0198c
57807.344557 -21.221  1.516   -12   18 c  0   0.99  90.93210 -38.15298  4727.99  5481.05 3.84 3.67  84.0 -0.376 19.45 21.39 02a57807o0227c
57807.359606  23.198  9.000     2   17 c  0   1.16  90.93210 -38.15298  4790.54  5556.00 3.76 3.62  90.0 -0.381 19.41 21.33 02a57807o0256c
57811.321457  20.913  1.179    16   18 c  0   1.04  90.93210 -38.15298  5037.75  3184.14 3.85 3.78 -85.3 -0.428 19.57 21.59 02a57811o0189c
57811.336511  20.280  0.623    28   18 c  0   1.00  90.93210 -38.15298  5025.07  3142.32 3.85 3.79 -76.6 -0.418 19.53 21.53 02a57811o0218c
57811.351566  22.563  5.250     3   18 c  0   0.99  90.93210 -38.15298  5088.61  3237.27 3.90 3.83 -69.8 -0.417 19.48 21.49 02a57811o0247c
57823.292528 -18.416  0.412  -156   64 o  0   1.05  90.93210 -38.15298  4805.16  5680.84 3.65 3.39  84.3 -0.517 18.05 18.66 02a57823o0126o
57823.304981  19.750  1.371    46   63 o  0   1.08  90.93210 -38.15298  4791.59  5638.95 3.85 3.83  -7.2 -0.488 17.93 18.61 02a57823o0151o
57823.319329  20.845  4.657    17   78 o  0   1.00  90.93210 -38.15298  4838.27  5713.81 3.76 3.72  15.9 -0.485 17.86 18.48 02a57823o0180o
57827.288340 -19.579  0.624   -54   33 o  0   1.23  90.93210 -38.15298  6308.44  3109.43 3.78 3.53  88.4 -0.445 18.05 19.01 02a57827o0089o
