###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57406.626910  21.140  4.529    13   58 o  0   0.55 210.09456 -33.04536  6912.32  6120.81 3.59 3.20  84.0 -0.481 19.06 20.61 02a57406o0543o
57406.647990  20.434  1.388    24   34 o  0   1.52 210.09456 -33.04536  7194.68  6707.39 3.57 3.14  85.9 -0.482 19.08 20.62 02a57406o0577o
57406.650399  19.338  0.583    67   39 o  0   2.80 210.09456 -33.04536  6333.82  5539.98 3.54 3.25  85.5 -0.476 19.06 20.60 02a57406o0581o
57406.661310  19.333  0.587    67   39 o  0   2.13 210.09456 -33.04536  6035.66  7281.49 3.59 3.15  86.5 -0.479 19.02 20.48 02a57406o0599o
57407.626396  19.808  3.431    43  149 o  0   0.10 210.09456 -33.04536  6910.29  6120.72 3.74 3.56  71.7 -0.450 18.96 20.56 02a57407o0678o
57407.646380 -21.215  2.677   -12   32 o  0   0.99 210.09456 -33.04536  7193.40  6706.64 3.66 3.24  84.7 -0.467 19.02 20.55 02a57407o0710o
57407.647592  19.344  0.796    66   53 o  0   0.48 210.09456 -33.04536  6333.73  5539.68 3.74 3.58  78.6 -0.449 18.96 20.53 02a57407o0712o
57407.657406  18.820  1.113   108  120 o  0   0.15 210.09456 -33.04536  6035.13  7280.93 3.84 3.45  86.1 -0.449 18.95 20.52 02a57407o0728o
57410.628733  18.446  0.423   152   64 o  0   0.86 210.09456 -33.04536  6906.61  6125.49 3.71 3.37  83.4 -0.448 18.20 19.04 02a57410o0678o
57410.630565  19.345  1.497    66   99 o  0   0.45 210.09456 -33.04536  7197.31  6710.52 3.58 3.16  85.0 -0.476 18.26 19.05 02a57410o0681o
57410.646168  20.044  1.562    35   54 o  0   1.44 210.09456 -33.04536  6333.08  5543.01 3.55 3.22  84.1 -0.463 18.28 19.09 02a57410o0706o
57410.646780  20.300  3.289    28   91 o  0   0.66 210.09456 -33.04536  6039.53  7281.65 3.55 3.20  86.4 -0.473 18.30 19.11 02a57410o0707o
57411.604790  18.566  0.601   136   82 o  0   0.56 210.09456 -33.04536  6907.56  6125.83 3.71 3.30  82.3 -0.477 18.15 18.96 02a57411o0641o
57411.628662  18.393  0.669   160  107 o  0   0.47 210.09456 -33.04536  7187.14  6713.32 3.69 3.17  83.7 -0.494 18.24 19.06 02a57411o0679o
57411.642859  19.080  0.765    85   65 o  0   1.51 210.09456 -33.04536  6323.11  5547.12 3.54 3.19  86.5 -0.491 18.27 19.08 02a57411o0702o
57411.644706 -19.318  1.438   -68   98 o  0   0.57 210.09456 -33.04536  6028.48  7286.22 3.60 3.12  88.1 -0.497 18.29 19.10 02a57411o0705o
57412.603748  19.023  1.056    89   94 o  0   0.55 210.09456 -33.04536  6910.82  6125.98 3.70 3.43  77.2 -0.478 18.28 19.21 02a57412o0590o
57412.627706  18.729  0.606   117   71 o  0   0.93 210.09456 -33.04536  7190.93  6713.04 3.67 3.19  83.5 -0.484 18.39 19.32 02a57412o0628o
57412.642176  18.822  0.604   107   65 o  0   1.57 210.09456 -33.04536  6326.00  5547.20 3.62 3.33  84.3 -0.473 18.39 19.33 02a57412o0651o
57412.644029  18.626  1.246   129  160 o  0   0.16 210.09456 -33.04536  6031.07  7285.52 3.67 3.24  89.5 -0.484 18.41 19.35 02a57412o0654o
57416.584923  18.818  0.591   108   64 o  0   0.75 210.09456 -33.04536  6654.28  5891.03 3.73 3.63  38.1 -0.433 18.38 19.45 02a57416o0613o
57416.599094  18.514  0.471   143   67 o  0   0.48 210.09456 -33.04536  6924.60  6476.75 3.62 3.29  82.1 -0.465 18.49 19.51 02a57416o0636o
57416.613209  19.544  1.053    55   58 o  0   0.60 210.09456 -33.04536  5766.61  7051.18 3.55 3.22  85.9 -0.468 18.53 19.54 02a57416o0659o
57416.627357  20.833  3.787    17   64 o  0   0.95 210.09456 -33.04536  6033.72  7287.70 3.54 3.17  83.7 -0.468 18.56 19.57 02a57416o0682o
57417.583461  18.538  0.530   140   74 o  0   0.61 210.09456 -33.04536  7058.40  6337.93 3.77 3.40  80.7 -0.460 18.47 19.57 02a57417o0593o
57417.598829  18.611  0.921   130  120 o  0   0.27 210.09456 -33.04536  7325.30  6927.32 3.75 3.32  82.7 -0.458 18.53 19.63 02a57417o0618o
57417.614237  17.447  0.194   381   74 o  0   1.40 210.09456 -33.04536  6167.05  7501.42 4.00 3.73  83.3 -0.433 18.45 19.65 02a57417o0643o
57417.629692  19.070  0.756    86   65 o  0   0.85 210.09456 -33.04536  6030.49  7290.19 3.65 3.26  87.0 -0.468 18.59 19.68 02a57417o0667o
57423.573788 -20.762  0.981   -18   18 c  0   1.13 210.09456 -33.04536  7129.05  6070.01 3.70 3.40  79.4 -0.402 19.42 21.21 02a57423o0492c
