###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57368.663171  19.667  1.255    49   62 o  0   1.14 192.08237 -26.23720  1594.48  3285.70 4.69 3.72 -33.1 -0.468 17.97 18.75 02a57368o0745o
57369.665629 -19.484  1.350   -58   79 o  0   1.10 192.08237 -26.23720  1594.30  3283.78 4.39 3.54 -30.0 -0.509 17.78 18.26 02a57369o0562o
57380.637491 -19.560  0.917   -54   50 o  0   1.15 192.08237 -26.23720  1578.64  3284.94 4.87 3.90 -37.7 -0.458 18.21 19.22 02a57380o0643o
57380.654704 -20.176  1.556   -31   48 o  0   1.17 192.08237 -26.23720  1276.21  2706.50 5.02 3.69 -32.3 -0.498 18.38 19.43 02a57380o0670o
57380.668023  19.701  1.109    48   53 o  0   1.07 192.08237 -26.23720  2164.43  3865.23 4.56 3.78 -42.4 -0.469 18.13 19.07 02a57380o0691o
57405.628612 -20.161  0.647   -31   20 o  0   1.31 192.08237 -26.23720  1564.41  3300.74 4.22 3.47 -40.9 -0.498 19.25 20.86 02a57405o0672o
57405.653720 -22.058  3.333    -6   18 o  0   1.24 192.08237 -26.23720  9447.18  7981.66 3.68 3.17  88.5 -0.464 19.20 20.84 02a57405o0710o
57405.656151  22.744  6.875     3   20 o  0   0.91 192.08237 -26.23720  8553.14  6825.69 3.69 3.19  85.8 -0.463 19.19 20.83 02a57405o0714o
57405.666450  20.772  1.083    18   19 o  0   1.39 192.08237 -26.23720  8258.88  8579.09 3.64 3.30  86.2 -0.461 19.03 20.50 02a57405o0731o
57406.596278 -21.897  3.615    -6   23 o  0   1.03 192.08237 -26.23720  2169.57  2707.18 4.36 3.49 -30.5 -0.500 19.14 20.72 02a57406o0494o
57406.611013 -19.836  0.543   -42   23 o  0   1.08 192.08237 -26.23720  2459.33  3289.75 4.08 3.46 -34.0 -0.493 19.18 20.75 02a57406o0518o
57406.617659 -19.965  0.630   -38   24 o  0   1.17 192.08237 -26.23720  1565.70  2133.71 4.65 3.48 -29.8 -0.513 19.20 20.78 02a57406o0528o
57406.637194  21.202  2.120    12   25 o  0   0.97 192.08237 -26.23720  1278.12  3890.70 4.32 3.47 -45.6 -0.491 19.18 20.76 02a57406o0560o
57407.595619 -22.413  6.000    -4   24 o  0   1.15 192.08237 -26.23720  2166.18  2707.75 4.38 3.57 -30.5 -0.479 19.10 20.67 02a57407o0629o
57407.610433 -20.832  1.371   -17   23 o  0   1.05 192.08237 -26.23720  2456.00  3289.35 4.25 3.68 -34.3 -0.455 19.11 20.74 02a57407o0653o
57407.617754  21.502  3.062     9   28 o  0   0.97 192.08237 -26.23720  1560.95  2133.17 4.86 3.78 -32.0 -0.475 19.08 20.72 02a57407o0664o
57407.634875  21.223  1.957    12   23 o  0   1.05 192.08237 -26.23720  1276.05  3890.28 4.45 3.66 -44.7 -0.471 19.12 20.72 02a57407o0692o
