###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57446.664110  19.712  1.410    47   67 o  0   1.13 244.72543 -35.90744  8014.84  1871.03 3.94 3.29  19.2 -0.576 17.78 18.37 02a57446o0423o
57447.656182  21.553  5.444     9   47 o  0   1.08 244.72543 -35.90744  7842.99  1728.50 4.11 3.35  15.3 -0.548 18.29 19.22 02a57447o0853o
57453.647352 -21.392  2.360   -10   24 c  0   0.65 244.72543 -35.90744  2621.60  8755.43 3.85 3.66 -56.9 -0.446 19.32 21.01 02a57453o0818c
57457.634090 -20.268  1.122   -28   32 c  0   1.02 244.72543 -35.90744  7930.61  1986.42 4.11 3.59 -81.7 -0.468 18.91 20.90 02a57457o0809c
57457.655405 -20.857  2.484   -16   41 c  0   1.37 244.72543 -35.90744  2388.28  8109.02 4.34 3.48 -72.3 -0.453 18.53 20.13 02a57457o0846c
57461.619438  21.342  4.200    10   44 c  0   1.24 244.72543 -35.90744  7979.96  1868.97 4.17 3.59  20.9 -0.481 17.60 19.33 02a57461o0783c
57461.641616  18.939  2.759    96  266 c  0   0.83 244.72543 -35.90744  2323.86  8203.92 3.91 3.66 -59.5 -0.440 17.78 19.47 02a57461o0821c
57465.605367  20.938  2.097    15   32 o  0   1.10 244.72543 -35.90744  7797.23  2117.84 4.20 3.55  20.8 -0.524 18.80 20.33 02a57465o0776o
57465.627510 -19.505  0.465   -57   27 o  0   1.37 244.72543 -35.90744  8076.61  2712.28 3.93 3.45  30.1 -0.525 18.88 20.46 02a57465o0816o
57465.642715 -20.166  0.808   -31   25 o  0   1.13 244.72543 -35.90744  3675.46  7404.45 3.72 3.33 -69.8 -0.502 18.86 20.29 02a57465o0844o
57465.651835  18.940  0.434    96   42 o  0   1.37 244.72543 -35.90744  3489.95  7534.48 3.71 3.26 -66.7 -0.514 18.32 19.20 02a57465o0860o
57469.488547 -19.071  0.854   -85   73 o  0   1.05 244.72543 -35.90744  7142.30  3118.48 4.69 3.66   8.5 -0.464 17.59 18.50 02a57469o0568o
57477.568039  20.493  1.787    23   41 o  0   1.19 244.72543 -35.90744  7811.82  2128.63 4.11 3.48  21.5 -0.538 18.39 19.51 02a57477o0719o
57477.584782  23.248 23.750     2   43 o  0   0.92 244.72543 -35.90744  8100.27  2720.85 3.94 3.43  32.7 -0.523 18.43 19.50 02a57477o0749o
57477.611629 -21.067  2.735   -14   37 o  0   1.05 244.72543 -35.90744  3665.48  7377.07 3.69 3.27 -72.0 -0.510 18.43 19.46 02a57477o0800o
57477.615496 -19.748  0.817   -46   37 o  0   0.98 244.72543 -35.90744  3477.78  7530.12 3.65 3.26 -69.0 -0.518 18.45 19.45 02a57477o0808o
57481.491215 -19.624  0.484   -51   25 c  0   1.12 244.72543 -35.90744  8099.82  1942.97 4.63 3.92  22.3 -0.461 19.13 20.90 02a57481o0573c
57481.504732 -20.755  1.250   -18   23 c  0   1.03 244.72543 -35.90744  8389.73  2533.82 4.61 4.12  36.1 -0.435 19.12 20.94 02a57481o0601c
57481.522572  20.245  0.770    29   22 c  0   0.96 244.72543 -35.90744  7198.05  3102.36 4.11 3.86  30.6 -0.450 19.20 20.97 02a57481o0638c
57481.534150  21.037  1.552    14   22 c  0   0.96 244.72543 -35.90744  7110.69  3124.38 4.24 3.90  22.7 -0.435 19.18 20.96 02a57481o0662c
57494.522034  19.587  0.830    53   44 o  0   1.20 244.72543 -35.90744  7699.90  2113.62 3.96 3.48  22.1 -0.520 18.32 19.53 02a57494o0617o
57494.534348 -19.939  0.941   -38   36 o  0   0.97 244.72543 -35.90744  7718.34  2149.21 4.28 3.76  23.8 -0.480 18.52 19.94 02a57494o0639o
57494.554972 -20.100  0.918   -33   30 o  0   1.09 244.72543 -35.90744  2897.93  8468.70 4.02 3.65 -59.2 -0.465 18.67 20.04 02a57494o0679o
