###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59562.787956 -20.470  3.361   -24   79 o  0   1.08 288.62682 -57.33948  7100.08  8915.80 3.34 2.95  18.5 -0.333 17.38 18.39 03a59563o0004o
59618.110535  17.758  0.583   286  167 c  0   1.28 288.62682 -57.33948   115.77  8306.23 2.67 2.28 -73.1 -0.373 17.52 19.37 03a59618o0737c
59618.116294  22.580  4.500     3   15 c  0   1.75 288.62682 -57.33948   173.90  8389.89 2.66 2.29 -74.0 -0.349 19.13 20.82 03a59618o0749c
59618.121982 -22.741  7.643    -3   22 c  0   0.98 288.62682 -57.33948   199.93  8278.65 2.71 2.29 -72.1 -0.347 18.90 20.24 03a59618o0761c
59620.350189 -21.697  2.571    -8   20 o  0   1.24 288.62682 -57.33948   754.11   236.79 3.08 1.74  40.9 -0.404 19.05 20.40 04a59620o0249o
59620.352929  20.929  1.203    15   19 o  0   1.24 288.62682 -57.33948   734.95   195.64 3.20 1.90  37.0 -0.426 19.04 20.40 04a59620o0255o
59620.358109 -19.442  0.284   -61   17 o  0   1.61 288.62682 -57.33948   791.81   277.12 3.01 1.92  31.7 -0.469 19.01 20.46 04a59620o0266o
59620.366471 -18.703  0.177  -120   21 o  0   2.98 288.62682 -57.33948   342.98 10449.18 3.03 2.22 -76.5 -0.366 19.10 20.42 04a59620o0284o
59620.367838  21.753  2.333     7   17 o  0   1.99 288.62682 -57.33948   803.75   159.83 2.81 1.79  35.4 -0.453 19.11 20.35 04a59620o0287o
59620.370242 -19.429  0.316   -61   19 o  0   2.09 288.62682 -57.33948   320.61 10408.72 2.81 2.30 -77.2 -0.380 19.17 20.45 04a59620o0292o
59620.375363 -18.550  0.196  -138   27 o  0   2.89 288.62682 -57.33948   381.72 10490.43 2.88 2.35 -75.5 -0.377 19.11 20.40 04a59620o0303o
59620.390294 -20.231  2.539   -29   74 o  0   0.91 288.62682 -57.33948   398.23 10372.58 3.05 2.59 -79.8 -0.354 17.93 18.25 04a59620o0335o
59628.389575 -21.427  2.559   -10   25 o  0   1.42 288.62682 -57.33948  4662.81  6180.78 1.93 1.67 -81.6 -0.404 18.39 18.85 04a59628o0780o
59628.392357  20.203  1.052    30   32 o  0   1.87 288.62682 -57.33948  4643.37  6142.14 1.97 1.69 -81.6 -0.408 18.21 18.53 04a59628o0786o
59628.396484  20.051  1.351    35   47 o  0   1.02 288.62682 -57.33948  4702.99  6219.91 2.00 1.72 -81.2 -0.413 17.74 17.75 04a59628o0795o
59628.400299 -20.593  4.723   -21   99 o  0   1.04 288.62682 -57.33948  4721.67  6104.16 2.07 1.79 -82.6 -0.419 17.07 16.81 04a59628o0803o
59638.357711 -20.917  0.745   -16   12 o  0   4.43 288.62682 -57.33948  2643.80  2087.64 1.98 1.74  49.3 -0.428 19.36 20.73 04a59638o0734o
59638.360418  19.900  0.280    40   11 o  0   4.37 288.62682 -57.33948  2623.62  2048.17 2.01 1.74  48.8 -0.431 19.34 20.75 04a59638o0740o
59638.365909  20.724  0.583    19   11 o  0   3.61 288.62682 -57.33948  2681.32  2127.35 2.00 1.72  48.3 -0.427 19.36 20.74 04a59638o0752o
59638.384012  19.963  0.283    38   11 o  0   3.11 288.62682 -57.33948  2702.08  2011.35 2.05 1.77  49.8 -0.434 19.32 20.63 04a59638o0790o
