file,teff,log_g,he_label,url
T110000_g6.5_He1.0.txt,110000,6.5,1.0,https://dc.g-vo.org/getproduct/theossa/spec/upload/0110000_6.50_0.000_1.000_003000-055000_2020-01-20_15_34_17.txt
T110000_g7.0_He0.0.txt,110000,7.0,0.0,https://dc.g-vo.org/getproduct/theossa/spec/upload/0110000_7.00_1.000_0.000_003000-055000_2020-01-20_16_17_12.txt
T110000_g7.0_He0.1.txt,110000,7.0,0.1,https://dc.g-vo.org/getproduct/theossa/spec/upload/0110000_7.00_0.900_0.100_003000-055000_2020-01-20_16_12_51.txt
T110000_g7.0_He0.3.txt,110000,7.0,0.3,https://dc.g-vo.org/getproduct/theossa/spec/upload/0110000_7.00_0.700_0.300_003000-055000_2020-01-20_16_04_20.txt
T110000_g7.0_He0.5.txt,110000,7.0,0.5,https://dc.g-vo.org/getproduct/theossa/spec/upload/0110000_7.00_0.500_0.500_003000-055000_2020-01-20_15_55_41.txt
T110000_g7.0_He0.7.txt,110000,7.0,0.7,https://dc.g-vo.org/getproduct/theossa/spec/upload/0110000_7.00_0.300_0.700_003000-055000_2020-01-20_15_46_56.txt
T110000_g7.0_He0.9.txt,110000,7.0,0.9,https://dc.g-vo.org/getproduct/theossa/spec/upload/0110000_7.00_0.100_0.900_003000-055000_2020-01-20_15_38_50.txt
T110000_g7.0_He1.0.txt,110000,7.0,1.0,https://dc.g-vo.org/getproduct/theossa/spec/upload/0110000_7.00_0.000_1.000_003000-055000_2020-01-20_15_34_47.txt
T110000_g7.5_He0.0.txt,110000,7.5,0.0,https://dc.g-vo.org/getproduct/theossa/spec/upload/0110000_7.50_1.000_0.000_003000-055000_2020-01-20_16_17_38.txt
T110000_g7.5_He0.1.txt,110000,7.5,0.1,https://dc.g-vo.org/getproduct/theossa/spec/upload/0110000_7.50_0.900_0.100_003000-055000_2020-01-20_16_13_25.txt
T110000_g7.5_He0.3.txt,110000,7.5,0.3,https://dc.g-vo.org/getproduct/theossa/spec/upload/0110000_7.50_0.700_0.300_003000-055000_2020-01-20_16_04_56.txt
T110000_g7.5_He0.5.txt,110000,7.5,0.5,https://dc.g-vo.org/getproduct/theossa/spec/upload/0110000_7.50_0.500_0.500_003000-055000_2020-01-20_15_56_27.txt
T110000_g7.5_He0.7.txt,110000,7.5,0.7,https://dc.g-vo.org/getproduct/theossa/spec/upload/0110000_7.50_0.300_0.700_003000-055000_2020-01-20_15_47_19.txt
T110000_g7.5_He0.9.txt,110000,7.5,0.9,https://dc.g-vo.org/getproduct/theossa/spec/upload/0110000_7.50_0.100_0.900_003000-055000_2020-01-20_15_39_11.txt
T110000_g7.5_He1.0.txt,110000,7.5,1.0,https://dc.g-vo.org/getproduct/theossa/spec/upload/0110000_7.50_0.000_1.000_003000-055000_2020-01-20_15_35_01.txt
T110000_g8.0_He0.0.txt,110000,8.0,0.0,https://dc.g-vo.org/getproduct/theossa/spec/upload/0110000_8.00_1.000_0.000_003000-055000_2020-01-20_16_18_20.txt
T110000_g8.0_He0.1.txt,110000,8.0,0.1,https://dc.g-vo.org/getproduct/theossa/spec/upload/0110000_8.00_0.900_0.100_003000-055000_2020-01-20_16_14_01.txt
T110000_g8.0_He0.3.txt,110000,8.0,0.3,https://dc.g-vo.org/getproduct/theossa/spec/upload/0110000_8.00_0.700_0.300_003000-055000_2020-01-20_16_05_29.txt
T110000_g8.0_He0.5.txt,110000,8.0,0.5,https://dc.g-vo.org/getproduct/theossa/spec/upload/0110000_8.00_0.500_0.500_003000-055000_2020-01-20_15_56_43.txt
T110000_g8.0_He0.7.txt,110000,8.0,0.7,https://dc.g-vo.org/getproduct/theossa/spec/upload/0110000_8.00_0.300_0.700_003000-055000_2020-01-20_15_48_03.txt
T110000_g8.0_He0.9.txt,110000,8.0,0.9,https://dc.g-vo.org/getproduct/theossa/spec/upload/0110000_8.00_0.100_0.900_003000-055000_2020-01-20_15_39_37.txt
T110000_g8.0_He1.0.txt,110000,8.0,1.0,https://dc.g-vo.org/getproduct/theossa/spec/upload/0110000_8.00_0.000_1.000_003000-055000_2020-01-20_15_35_27.txt
T120000_g6.5_He0.0.txt,120000,6.5,0.0,https://dc.g-vo.org/getproduct/theossa/spec/upload/0120000_6.50_1.000_0.000_003000-055000_2020-01-20_16_16_39.txt
T120000_g6.5_He0.1.txt,120000,6.5,0.1,https://dc.g-vo.org/getproduct/theossa/spec/upload/0120000_6.50_0.900_0.100_003000-055000_2020-01-20_16_12_23.txt
T120000_g6.5_He0.3.txt,120000,6.5,0.3,https://dc.g-vo.org/getproduct/theossa/spec/upload/0120000_6.50_0.700_0.300_003000-055000_2020-01-20_16_03_47.txt
T120000_g6.5_He0.5.txt,120000,6.5,0.5,https://dc.g-vo.org/getproduct/theossa/spec/upload/0120000_6.50_0.500_0.500_003000-055000_2020-01-20_15_55_13.txt
T120000_g6.5_He0.7.txt,120000,6.5,0.7,https://dc.g-vo.org/getproduct/theossa/spec/upload/0120000_6.50_0.300_0.700_003000-055000_2020-01-20_15_46_23.txt
T120000_g6.5_He0.9.txt,120000,6.5,0.9,https://dc.g-vo.org/getproduct/theossa/spec/upload/0120000_6.50_0.100_0.900_003000-055000_2020-01-20_15_38_04.txt
T120000_g6.5_He1.0.txt,120000,6.5,1.0,https://dc.g-vo.org/getproduct/theossa/spec/upload/0120000_6.50_0.000_1.000_003000-055000_2020-01-20_15_34_21.txt
T120000_g7.0_He0.0.txt,120000,7.0,0.0,https://dc.g-vo.org/getproduct/theossa/spec/upload/0120000_7.00_1.000_0.000_003000-055000_2020-01-20_16_17_13.txt
T120000_g7.0_He0.1.txt,120000,7.0,0.1,https://dc.g-vo.org/getproduct/theossa/spec/upload/0120000_7.00_0.900_0.100_003000-055000_2020-01-20_16_12_51.txt
T120000_g7.0_He0.3.txt,120000,7.0,0.3,https://dc.g-vo.org/getproduct/theossa/spec/upload/0120000_7.00_0.700_0.300_003000-055000_2020-01-20_16_04_21.txt
T120000_g7.0_He0.5.txt,120000,7.0,0.5,https://dc.g-vo.org/getproduct/theossa/spec/upload/0120000_7.00_0.500_0.500_003000-055000_2020-01-20_15_55_45.txt
T120000_g7.0_He0.7.txt,120000,7.0,0.7,https://dc.g-vo.org/getproduct/theossa/spec/upload/0120000_7.00_0.300_0.700_003000-055000_2020-01-20_15_46_57.txt
T120000_g7.0_He0.9.txt,120000,7.0,0.9,https://dc.g-vo.org/getproduct/theossa/spec/upload/0120000_7.00_0.100_0.900_003000-055000_2020-01-20_15_38_49.txt
T120000_g7.0_He1.0.txt,120000,7.0,1.0,https://dc.g-vo.org/getproduct/theossa/spec/upload/0120000_7.00_0.000_1.000_003000-055000_2020-01-20_15_34_49.txt
T120000_g7.5_He0.0.txt,120000,7.5,0.0,https://dc.g-vo.org/getproduct/theossa/spec/upload/0120000_7.50_1.000_0.000_003000-055000_2020-01-20_16_17_42.txt
T120000_g7.5_He0.1.txt,120000,7.5,0.1,https://dc.g-vo.org/getproduct/theossa/spec/upload/0120000_7.50_0.900_0.100_003000-055000_2020-01-20_16_13_30.txt
T120000_g7.5_He0.3.txt,120000,7.5,0.3,https://dc.g-vo.org/getproduct/theossa/spec/upload/0120000_7.50_0.700_0.300_003000-055000_2020-01-20_16_05_01.txt
T120000_g7.5_He0.5.txt,120000,7.5,0.5,https://dc.g-vo.org/getproduct/theossa/spec/upload/0120000_7.50_0.500_0.500_003000-055000_2020-01-20_15_56_29.txt
T120000_g7.5_He0.7.txt,120000,7.5,0.7,https://dc.g-vo.org/getproduct/theossa/spec/upload/0120000_7.50_0.300_0.700_003000-055000_2020-01-20_15_47_23.txt
T120000_g7.5_He0.9.txt,120000,7.5,0.9,https://dc.g-vo.org/getproduct/theossa/spec/upload/0120000_7.50_0.100_0.900_003000-055000_2020-01-20_15_39_10.txt
T120000_g7.5_He1.0.txt,120000,7.5,1.0,https://dc.g-vo.org/getproduct/theossa/spec/upload/0120000_7.50_0.000_1.000_003000-055000_2020-01-20_15_35_03.txt
T120000_g8.0_He0.0.txt,120000,8.0,0.0,https://dc.g-vo.org/getproduct/theossa/spec/upload/0120000_8.00_1.000_0.000_003000-055000_2020-01-20_16_18_20.txt
T120000_g8.0_He0.1.txt,120000,8.0,0.1,https://dc.g-vo.org/getproduct/theossa/spec/upload/0120000_8.00_0.900_0.100_003000-055000_2020-01-20_16_14_02.txt
T120000_g8.0_He0.3.txt,120000,8.0,0.3,https://dc.g-vo.org/getproduct/theossa/spec/upload/0120000_8.00_0.700_0.300_003000-055000_2020-01-20_16_05_30.txt
T120000_g8.0_He0.5.txt,120000,8.0,0.5,https://dc.g-vo.org/getproduct/theossa/spec/upload/0120000_8.00_0.500_0.500_003000-055000_2020-01-20_15_56_45.txt
T120000_g8.0_He0.7.txt,120000,8.0,0.7,https://dc.g-vo.org/getproduct/theossa/spec/upload/0120000_8.00_0.300_0.700_003000-055000_2020-01-20_15_48_05.txt
T120000_g8.0_He0.9.txt,120000,8.0,0.9,https://dc.g-vo.org/getproduct/theossa/spec/upload/0120000_8.00_0.100_0.900_003000-055000_2020-01-20_15_39_37.txt
T120000_g8.0_He1.0.txt,120000,8.0,1.0,https://dc.g-vo.org/getproduct/theossa/spec/upload/0120000_8.00_0.000_1.000_003000-055000_2020-01-20_15_35_32.txt
T150000_g6.5_He0.0.txt,150000,6.5,0.0,https://dc.g-vo.org/getproduct/theossa/spec/upload/0150000_6.50_1.000_0.000_003000-055000_2020-01-20_16_16_44.txt
T150000_g6.5_He0.1.txt,150000,6.5,0.1,https://dc.g-vo.org/getproduct/theossa/spec/upload/0150000_6.50_0.900_0.100_003000-055000_2020-01-20_16_12_27.txt
T150000_g6.5_He0.3.txt,150000,6.5,0.3,https://dc.g-vo.org/getproduct/theossa/spec/upload/0150000_6.50_0.700_0.300_003000-055000_2020-01-20_16_04_06.txt
