###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57446.664110 -22.766 23.667    -3   67 o  0   1.31 244.72653 -35.91014  8016.46  1876.31 3.94 3.29  19.2 -0.576 17.78 18.37 02a57446o0423o
57447.656182 -20.193  1.524   -30   46 o  0   1.10 244.72653 -35.91014  7844.62  1733.79 4.11 3.35  15.3 -0.548 18.29 19.22 02a57447o0853o
57453.647352  19.931  0.573    39   22 c  0   0.81 244.72653 -35.91014  2619.98  8750.14 3.85 3.66 -56.9 -0.446 19.32 21.01 02a57453o0818c
57457.634090 -19.427  0.472   -62   29 c  0   1.22 244.72653 -35.91014  7932.23  1991.70 4.11 3.59 -81.7 -0.468 18.91 20.90 02a57457o0809c
57457.655405 -19.841  1.025   -42   43 c  0   1.14 244.72653 -35.91014  2386.67  8103.74 4.34 3.48 -72.4 -0.453 18.53 20.13 02a57457o0846c
57461.619438 -19.139  0.553   -80   44 c  0   1.27 244.72653 -35.91014  7981.58  1874.25 4.17 3.59  20.9 -0.481 17.60 19.33 02a57461o0783c
57461.641616 -20.402  9.857   -25  247 c  0   1.07 244.72653 -35.91014  2322.25  8198.64 3.91 3.66 -59.5 -0.440 17.78 19.47 02a57461o0821c
57465.605367 -19.831  0.651   -42   28 o  0   1.20 244.72653 -35.91014  7798.86  2123.12 4.20 3.55  20.9 -0.524 18.80 20.33 02a57465o0776o
57465.627510 -19.993  0.728   -36   27 o  0   1.17 244.72653 -35.91014  8078.23  2717.55 3.93 3.45  30.3 -0.525 18.88 20.46 02a57465o0816o
57465.642715 -18.973  0.278   -94   26 o  0   0.88 244.72653 -35.91014  3673.80  7399.19 3.72 3.33 -69.7 -0.502 18.86 20.29 02a57465o0844o
57465.651835  21.405  4.200    10   42 o  0   1.43 244.72653 -35.91014  3488.29  7529.23 3.71 3.26 -66.7 -0.514 18.32 19.20 02a57465o0860o
57469.488547  20.233  2.340    29   69 o  0   1.10 244.72653 -35.91014  7143.95  3123.73 4.68 3.67   8.5 -0.464 17.59 18.50 02a57469o0568o
57477.568039 -18.837  0.412  -106   44 o  0   1.02 244.72653 -35.91014  7813.45  2133.90 4.11 3.48  21.6 -0.538 18.39 19.51 02a57477o0719o
57477.584782 -19.291  0.595   -70   42 o  0   1.01 244.72653 -35.91014  8101.89  2726.12 3.94 3.43  32.8 -0.523 18.43 19.50 02a57477o0749o
57477.611629 -19.216  0.476   -75   36 o  0   1.01 244.72653 -35.91014  3663.82  7371.81 3.69 3.27 -72.0 -0.510 18.43 19.46 02a57477o0800o
57477.615496 -18.914  0.399   -99   39 o  0   0.82 244.72653 -35.91014  3476.13  7524.86 3.65 3.26 -69.0 -0.518 18.45 19.45 02a57477o0808o
57481.491215  22.136  4.222     5   21 c  0   1.45 244.72653 -35.91014  8101.43  1948.25 4.62 3.92  22.4 -0.461 19.13 20.90 02a57481o0573c
57481.504732  22.018  4.100     6   23 c  0   0.95 244.72653 -35.91014  8391.34  2539.10 4.61 4.12  36.2 -0.435 19.12 20.94 02a57481o0601c
57481.522572 -22.011  3.667    -6   21 c  0   1.02 244.72653 -35.91014  7199.70  3107.61 4.11 3.86  30.8 -0.450 19.20 20.97 02a57481o0638c
57481.534150  21.440  2.100    10   20 c  0   1.14 244.72653 -35.91014  7112.34  3129.63 4.24 3.90  22.8 -0.435 19.18 20.96 02a57481o0662c
57494.522034 -19.024  0.487   -89   44 o  0   1.15 244.72653 -35.91014  7701.53  2118.89 3.96 3.48  22.2 -0.520 18.32 19.53 02a57494o0617o
57494.534348 -18.901  0.345  -100   34 o  0   0.97 244.72653 -35.91014  7719.97  2154.49 4.28 3.76  23.9 -0.480 18.52 19.94 02a57494o0639o
57494.554972 -19.466  0.511   -59   30 o  0   1.00 244.72653 -35.91014  2896.30  8463.42 4.02 3.65 -59.2 -0.465 18.67 20.04 02a57494o0679o
57494.563132 -19.995  0.851   -36   31 o  0   1.09 244.72653 -35.91014  2912.01  8348.63 3.91 3.45 -65.5 -0.486 18.70 19.99 02a57494o0694o
57497.514277 -18.403  0.533  -158   84 o  0   1.01 244.72653 -35.91014  7703.40  2120.96 4.52 3.92  22.1 -0.490 17.59 18.32 02a57497o0522o
57497.530139 -18.676  0.437  -123   54 o  0   1.31 244.72653 -35.91014  2833.34  8376.75 3.75 3.35 -68.7 -0.511 18.21 19.12 02a57497o0550o
57497.546612 -19.153  0.779   -79   62 o  0   1.18 244.72653 -35.91014  2892.06  8462.97 4.03 3.56 -66.1 -0.487 18.19 19.09 02a57497o0579o
57497.557817  19.946  1.629    38   62 o  0   1.08 244.72653 -35.91014  2907.85  8350.44 3.87 3.40 -66.2 -0.498 18.25 19.08 02a57497o0601o
57511.493141 -19.988  0.538   -37   20 c  0   1.05 244.72653 -35.91014  4773.01  8586.87 3.93 3.77 -70.7 -0.423 19.06 20.89 02a57511o0558c
57511.503868 -20.820  1.167   -17   20 c  0   1.08 244.72653 -35.91014  4738.40  8553.09 4.09 3.92 -77.3 -0.419 19.15 21.00 02a57511o0580c
57511.517105 -19.692  0.376   -48   18 c  0   1.39 244.72653 -35.91014  4799.28  8636.59 3.97 3.82 -76.5 -0.423 19.22 21.04 02a57511o0606c
57511.530007 -20.519  1.000   -22   22 c  0   0.91 244.72653 -35.91014  4811.57  8522.37 4.39 4.17 -74.5 -0.383 19.14 21.05 02a57511o0632c
57520.443734 -19.884  0.582   -40   24 c  0   0.99 244.72653 -35.91014  4621.36  9934.91 4.30 4.03 -69.1 -0.437 19.24 21.15 02a57520o0433c
57520.448742 -20.819  1.560   -17   27 c  0   1.10 244.72653 -35.91014  7569.06   295.31 5.19 4.01  13.9 -0.475 19.15 21.04 02a57520o0442c
57520.457457 -21.907  5.222    -6   33 c  0   0.72 244.72653 -35.91014  7506.79   211.34 5.23 3.83  12.3 -0.485 19.13 21.04 02a57520o0458c
57520.464087 -21.184  1.955   -12   24 c  0   1.12 244.72653 -35.91014  4646.83  9968.83 4.59 4.21 -75.3 -0.421 19.18 21.17 02a57520o0471c
57520.471999 -21.345  2.000   -10   21 c  0   1.20 244.72653 -35.91014  3056.28 10195.25 4.24 4.04 -45.3 -0.410 18.97 20.85 02a57520o0487c
57520.473453 -20.024  0.764   -36   27 c  0   0.98 244.72653 -35.91014  5962.41   632.04 5.09 3.97   2.4 -0.498 19.23 21.07 02a57520o0490c
57520.479927 -20.901  1.640   -16   26 c  0   1.03 244.72653 -35.91014  5977.54   515.97 5.05 3.92   2.8 -0.505 19.23 21.06 02a57520o0502c
57520.484929 -21.214  1.773   -12   21 c  0   1.17 244.72653 -35.91014  3021.22 10256.43 4.39 4.04 -46.0 -0.407 19.13 20.96 02a57520o0511c
57520.489154 -19.835  0.651   -42   28 c  0   1.02 244.72653 -35.91014  5943.03   577.38 5.32 4.01   2.1 -0.490 19.20 21.04 02a57520o0519c
57521.442434 -19.056  0.484   -87   42 c  0   0.65 244.72653 -35.91014  7608.48  3680.67 4.03 3.78  56.7 -0.463 18.66 20.41 02a57521o0410c
57521.461575 -20.340  1.361   -27   36 c  0   0.81 244.72653 -35.91014  2908.64  6796.14 4.01 3.65 -52.3 -0.462 18.63 20.39 02a57521o0448c
57521.474023 -19.352  0.424   -66   28 c  0   0.91 244.72653 -35.91014  2966.98  6883.08 3.96 3.64 -54.9 -0.466 18.94 20.67 02a57521o0471c
57521.486379 -20.968  1.529   -15   23 c  0   0.97 244.72653 -35.91014  2979.99  6769.70 3.94 3.62 -59.3 -0.465 19.23 20.98 02a57521o0494c
57521.498459  23.249 15.667     2   28 c  0   0.96 244.72653 -35.91014  2945.86  6829.07 3.98 3.59 -65.8 -0.465 18.88 20.63 02a57521o0517c
57522.444647 -19.468  0.284   -59   17 c  0   1.60 244.72653 -35.91014  7651.37  1792.48 4.08 3.44  23.9 -0.577 19.48 20.83 02a57522o0208c
57522.454173 -19.819  0.459   -43   20 c  0   1.18 244.72653 -35.91014  7668.53  1828.18 4.19 3.52  20.8 -0.554 19.40 20.86 02a57522o0227c
