Source,RA_ICRS,DE_ICRS,TransitID,TimeG,FG,e_FG,RFG,Gmag,NG,TimeBP,FBP,e_FBP,RFBP,BPmag,TimeRP,FRP,e_FRP,RFRP,RPmag,noisyFlag,SMuFlag,AF1uFlag,AF2uFlag,AF3uFlag,AF4uFlag,AF5uFlag,AF6uFlag,AF7uFlag,AF8uFlag,AF9uFlag,BPuFlag,RPuFlag,SMrFlag,AF1rFlag,AF2rFlag,AF3rFlag,AF4rFlag,AF5rFlag,AF6rFlag,AF7rFlag,AF8rFlag,AF9rFlag,BPrFlag,RPrFlag,GrVFlag,BPrVFlag,RPrVFlag
3496637913394359680,192.08243216326,-26.23717041401,16627599541203799,1697.541846,1135.766,10.605065,107.097,18.049145,8,1697.5422,733.11885,39.277562,18.6651,18.175606,1697.5423,639.07,23.098845,27.6668,17.734024,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3496637913394359680,192.08243216326,-26.23717041401,16637340352124297,1697.718012,1151.0464,6.1786704,186.294,18.034635,9,1697.7183,688.58136,23.299442,29.5536,18.243654,1697.7184,561.07742,20.655358,27.1638,17.875339,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3496637913394359680,192.08243216326,-26.23717041401,23533503239300612,1822.433792,1200.1457,9.9516387,120.598,17.989282,9,1822.4341,738.08428,22.438323,32.8939,18.168277,1822.4342,641.4006,23.779692,26.9726,17.730072,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3496637913394359680,192.08243216326,-26.23717041401,23537595533025941,1822.507813,1213.155,20.859129,58.1594,17.977576,8,1822.5081,789.69891,20.013694,39.4579,18.094888,1822.5082,631.64818,18.894458,33.4303,17.746707,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
3496637913394359680,192.08243216326,-26.23717041401,26329299576080274,1872.998934,1109.8588,8.1167533,136.737,18.074198,8,1872.9993,746.55327,25.172674,29.6573,18.15589,1872.9994,643.96803,19.231212,33.4856,17.725735,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3496637913394359680,192.08243216326,-26.23717041401,26339040442347820,1873.175134,1102.5104,8.4122877,131.06,18.08141,9,1873.1754,742.54587,21.343275,34.7906,18.161734,1873.1755,83786.788,137.94908,607.375,12.439957,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3496637913394359680,192.08243216326,-26.23717041401,35314736162854759,2035.491412,1201.4414,9.5132113,126.292,17.98811,7,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1
3496637913394359680,192.08243216326,-26.23717041401,36458077731575573,2056.166473,1115.3431,8.938108,124.785,18.068846,9,2056.1668,240.68135,33.173106,7.25532,19.384936,2056.1669,541.99596,18.827411,28.7876,17.912905,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
3496637913394359680,192.08243216326,-26.23717041401,36462170020819013,2056.240453,1123.1921,10.515105,106.817,18.061232,9,2056.2408,744.97714,23.843155,31.2449,18.158185,2056.2409,552.66367,21.394035,25.8326,17.891743,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3496637913394359680,192.08243216326,-26.23717041401,41928004585558726,2155.086345,1115.4199,6.1645182,180.942,18.068771,9,2155.0867,696.72577,24.449327,28.4967,18.230888,2155.0867,596.41603,32.051882,18.6078,17.809022,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
