Source,RA_ICRS,DE_ICRS,TransitID,TimeG,FG,e_FG,RFG,Gmag,NG,TimeBP,FBP,e_FBP,RFBP,BPmag,TimeRP,FRP,e_FRP,RFRP,RPmag,noisyFlag,SMuFlag,AF1uFlag,AF2uFlag,AF3uFlag,AF4uFlag,AF5uFlag,AF6uFlag,AF7uFlag,AF8uFlag,AF9uFlag,BPuFlag,RPuFlag,SMrFlag,AF1rFlag,AF2rFlag,AF3rFlag,AF4rFlag,AF5rFlag,AF6rFlag,AF7rFlag,AF8rFlag,AF9rFlag,BPrFlag,RPrFlag,GrVFlag,BPrVFlag,RPrVFlag
2883364038621038208,90.93209104713,-38.15310964253,37894703651660550,2082.149701,921.80981,4.553776,202.428,18.275764,9,2082.15,534.84305,18.078755,29.5841,18.517976,2082.1501,465.05351,17.588344,26.441,18.079138,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2883364038621038208,90.93209104713,-38.15310964253,39507418464674095,2111.316205,960.07739,5.0427387,190.388,18.231601,9,2111.3165,959.62648,19.521153,49.1583,17.883287,2111.3166,457.44544,17.323101,26.4067,18.097047,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2883364038621038208,90.93209104713,-38.15310964253,39511510764541270,2111.390237,916.39962,9.9129498,92.4447,18.282155,9,2111.3905,767.35745,39.626798,19.3646,18.126048,2111.3906,498.78264,21.917503,22.7573,18.003117,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2883364038621038208,90.93209104713,-38.15310964253,41165818971182940,2141.308748,1034.4621,10.309137,100.344,18.15058,9,2141.309,468.2733,34.854096,13.4352,18.662294,2141.3091,496.18869,30.793833,16.1132,18.008778,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2883364038621038208,90.93209104713,-38.15310964253,43404348684661706,2181.792094,1037.7875,7.6177162,136.233,18.147096,9,2181.7924,805.70515,23.354199,34.4994,18.073102,2181.7925,518.20736,16.798668,30.8481,17.961637,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2883364038621038208,90.93209104713,-38.15310964253,43408441017950381,2181.866102,1033.8477,6.5694803,157.371,18.151225,9,2181.8664,705.44601,25.474237,27.6925,18.217383,2181.8665,545.62916,21.083083,25.88,17.905652,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2883364038621038208,90.93209104713,-38.15310964253,43418181818914569,2182.04226,900.02864,10.693082,84.1692,18.301726,9,2182.0426,480.60787,18.146965,26.4842,18.634065,2182.0427,460.37726,17.491261,26.3204,18.090111,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2883364038621038208,90.93209104713,-38.15310964253,44804771823395939,2207.117786,998.53856,4.3858177,227.674,18.188955,9,2207.1181,643.79972,17.614426,36.5496,18.316665,2207.1182,506.77665,18.495672,27.3997,17.985854,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2883364038621038208,90.93209104713,-38.15310964253,44814512629370952,2207.29394,950.17785,7.0481353,134.813,18.242855,9,2207.2943,647.97198,21.739784,29.8058,18.309652,2207.2943,522.09512,25.589272,20.4029,17.953521,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2883364038621038208,90.93209104713,-38.15310964253,46863605370885039,2244.349527,1026.2697,9.6357929,106.506,18.159213,9,2244.3498,601.60732,18.986042,31.6868,18.390259,2244.3499,539.85287,19.617788,27.5185,17.917207,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
