gaia_dr3,ra_deg,dec_deg,G
6021870154194477312,244.7254259862617,-35.90743853686107,17.917
6021870158500230656,244.72653403357134,-35.910143752758934,16.528
6021870154194477696,244.72848023912474,-35.906849962266314,18.669
6021870158500371840,244.72826285067586,-35.904844760922195,16.702
