###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59577.917117 -21.168  0.737   -12    9 o  0   1.96  58.30184 -55.04399  8917.28  5007.23 2.79 2.30   2.3 -0.440 19.33 21.31 03a59578o0119o
59577.921159 -20.787  0.747   -18   13 o  0   1.37  58.30184 -55.04399  8957.81  5053.43 2.86 2.42   2.8 -0.439 19.28 21.27 03a59578o0124o
59577.931747  23.728 11.200     1   13 o  0   0.90  58.30184 -55.04399  8972.07  5002.97 2.94 2.46   9.0 -0.414 19.28 21.26 03a59578o0138o
59577.937694 -20.628  0.600   -20   12 o  0   1.22  58.30184 -55.04399  8983.87  5126.29 3.10 2.53  15.6 -0.419 19.23 21.19 03a59578o0150o
59578.887263 -19.750  0.544   -46   25 o  0   1.15  58.30184 -55.04399  8740.06  4966.99 3.09 2.72 -74.3 -0.382 18.46 20.14 03a59579o0125o
59578.890545 -20.183  0.542   -31   17 o  0   0.94  58.30184 -55.04399  8777.38  5009.18 3.15 2.75 -78.9 -0.382 19.06 20.82 03a59579o0132o
59578.896958 -20.012  0.407   -36   15 o  0   1.06  58.30184 -55.04399  8763.66  4934.24 3.07 2.74 -77.6 -0.378 19.11 20.87 03a59579o0144o
59578.907778 -23.372 10.429    -2   17 o  0   1.01  58.30184 -55.04399  8808.16  5062.47 3.00 2.73 -87.9 -0.369 19.12 20.83 03a59579o0165o
59579.869116  22.853  4.500     3   12 o  0   1.05  58.30184 -55.04399  7583.96  2483.67 3.26 2.82 -78.2 -0.382 19.27 21.51 03a59580o0185o
59579.872865  20.624  0.575    20   12 o  0   1.35  58.30184 -55.04399  7627.32  2519.44 3.00 2.67 -72.9 -0.396 19.35 21.47 03a59580o0192o
59579.879981  22.473  3.125     4   12 o  0   0.98  58.30184 -55.04399  7614.71  2438.63 3.01 2.64 -71.0 -0.398 19.37 21.48 03a59580o0207o
59579.893051  20.617  0.545    21   11 o  0   1.11  58.30184 -55.04399  7671.24  2557.99 2.96 2.71 -78.8 -0.399 19.37 21.61 03a59580o0234o
59585.858480  22.422  3.154     4   12 c  0   0.94  58.30184 -55.04399  4982.68  4992.48 3.58 2.83   0.5 -0.362 19.31 21.81 03a59586o0162c
59585.861743  22.424  3.154     4   12 c  0   0.96  58.30184 -55.04399  5020.69  5026.99 3.56 2.85  -1.4 -0.361 19.35 21.86 03a59586o0169c
59585.867359  20.177  0.392    31   12 c  0   1.22  58.30184 -55.04399  4998.48  4951.66 3.64 2.99   3.4 -0.377 19.31 21.89 03a59586o0181c
59585.878173 -23.006  5.000    -2   11 c  0   1.06  58.30184 -55.04399  5042.82  5070.60 3.47 2.74   3.6 -0.356 19.38 21.99 03a59586o0203c
59592.831000 -21.104  1.556   -13   20 o  0   0.94  58.30184 -55.04399  3092.12  5085.04 3.00 2.80 -78.7 -0.368 18.77 20.08 03a59593o0108o
