Source,RA_ICRS,DE_ICRS,TransitID,TimeG,FG,e_FG,RFG,Gmag,NG,TimeBP,FBP,e_FBP,RFBP,BPmag,TimeRP,FRP,e_FRP,RFRP,RPmag,noisyFlag,SMuFlag,AF1uFlag,AF2uFlag,AF3uFlag,AF4uFlag,AF5uFlag,AF6uFlag,AF7uFlag,AF8uFlag,AF9uFlag,BPuFlag,RPuFlag,SMrFlag,AF1rFlag,AF2rFlag,AF3rFlag,AF4rFlag,AF5rFlag,AF6rFlag,AF7rFlag,AF8rFlag,AF9rFlag,BPrFlag,RPrFlag,GrVFlag,BPrVFlag,RPrVFlag
178685757799822080,69.05591171737,38.6225197713,17279684109948227,1709.338137,1129.5033,12.531114,90.1359,18.055148,9,1709.3384,663.29572,43.771825,15.1535,18.284274,1709.3385,636.90433,31.563762,20.1783,17.73771,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
178685757799822080,69.05591171737,38.6225197713,19125493979297317,1742.721649,1001.7201,6.575638,152.338,18.185501,8,1742.722,581.69412,25.269444,23.0197,18.426806,1742.7221,398.30533,31.05898,12.8242,18.247355,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
178685757799822080,69.05591171737,38.6225197713,19129586279970698,1742.795683,997.01561,10.503698,94.9204,18.190612,9,1742.796,177428.24,198.32389,894.639,12.215985,1742.7961,193025.06,206.83911,933.214,11.533861,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1
178685757799822080,69.05591171737,38.6225197713,26787173448185562,1881.276881,978.90841,8.2124523,119.198,18.210512,9,1881.2772,616.35173,20.166718,30.5628,18.363971,1881.2773,502.82873,18.320991,27.4455,17.994345,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178685757799822080,69.05591171737,38.6225197713,26791265746343358,1881.350902,992.21565,9.0174107,110.033,18.195852,9,1881.3512,693.67875,43.400312,15.9833,18.235646,1881.3513,519.30465,23.321919,22.2668,17.95934,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
178685757799822080,69.05591171737,38.6225197713,28624732280329311,1914.505052,1101.3233,9.1187652,120.775,18.08258,9,1914.5054,743.92399,21.39457,34.7716,18.159721,1914.5055,522.52079,21.279547,24.5551,17.952637,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178685757799822080,69.05591171737,38.6225197713,28628824592269515,1914.579025,1090.1035,7.5090787,145.171,18.093698,8,1914.5794,582.27484,32.185984,18.0909,18.425722,1914.5795,342.16394,23.819819,14.3647,18.41231,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178685757799822080,69.05591171737,38.6225197713,37044941137536608,2066.781998,1105.5921,6.8724364,160.873,18.07838,9,2066.7823,768.4117,21.244528,36.1699,18.124557,2066.7824,602.93802,22.643544,26.6274,17.797214,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178685757799822080,69.05591171737,38.6225197713,38996852981561015,2102.084612,1084.1122,6.3404664,170.983,18.099681,9,2102.0849,685.20493,20.663663,33.1599,18.248991,2102.085,504.21096,19.116019,26.3764,17.991365,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178685757799822080,69.05591171737,38.6225197713,39808623702591111,2116.766217,1116.2682,5.3279894,209.51,18.067945,7,2116.7665,762.41878,28.69983,26.5653,18.133058,2116.7666,442.34095,26.238019,16.8588,18.133503,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
178685757799822080,69.05591171737,38.6225197713,39812716014531676,2116.840238,1088.2139,7.5432564,144.263,18.095581,9,2116.8406,723.95128,17.977665,40.2695,18.189269,2116.8406,580.03683,17.692716,32.7839,17.839257,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178685757799822080,69.05591171737,38.6225197713,44932332435075711,2209.426043,996.20619,8.0258756,124.124,18.191494,9,2209.4264,720.32493,19.70956,36.547,18.194721,2209.4264,504.30973,18.578754,27.1444,17.991152,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178685757799822080,69.05591171737,38.6225197713,44942073273132370,2209.602189,987.33662,8.9700264,110.071,18.201204,9,2209.6025,649.41127,19.295996,33.6552,18.307243,2209.6026,487.59538,18.798672,25.9378,18.027747,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178685757799822080,69.05591171737,38.6225197713,44946165516505187,2209.67619,1009.1841,7.3108743,138.039,18.177441,9,2209.6765,921.79743,19.447894,47.3983,17.926953,2209.6766,510.90937,17.853685,28.6165,17.977036,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178685757799822080,69.05591171737,38.6225197713,45568497527202794,2220.929896,1101.8804,6.3570839,173.331,18.082031,9,2220.9302,739.78909,18.610161,39.7519,18.165772,2220.9303,578.57527,18.219989,31.755,17.841996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178685757799822080,69.05591171737,38.6225197713,45578238331867255,2221.106039,1124.6248,7.0147477,160.323,18.059848,9,2221.1064,792.83353,20.252155,39.1481,18.090587,2221.1064,627.69712,24.460343,25.6618,17.75352,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178685757799822080,69.05591171737,38.6225197713,55019579647727178,2391.84083,1109.771,144.94126,7.6567,18.074283,9,2391.8411,667.97461,28.75804,23.2274,18.276642,2391.8412,555.74571,23.32033,23.831,17.885705,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
178685757799822080,69.05591171737,38.6225197713,55023671970410969,2391.914843,1107.7821,117.31165,9.44307,18.076231,9,2391.9152,587.68907,32.354098,18.1643,18.415673,2391.9152,560.79871,33.096313,16.9444,17.875878,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
178685757799822080,69.05591171737,38.6225197713,55033412788311211,2392.091012,989.16288,5.0380215,196.34,18.199197,9,2392.0913,621.37818,25.23353,24.6251,18.355152,2392.0914,494.55148,19.928421,24.8164,18.012367,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178685757799822080,69.05591171737,38.6225197713,55037505036152940,2392.165023,1007.4415,10.039384,100.349,18.179317,9,2392.1653,621.12667,21.126977,29.3997,18.355592,2392.1654,453.70851,22.459976,20.2008,18.105953,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178685757799822080,69.05591171737,38.6225197713,55807895240849091,2406.09817,1038.1505,8.061549,128.778,18.146716,9,2406.0985,577.21,23.051447,25.0401,18.435208,2406.0986,588.41328,20.975026,28.053,17.823689,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178685757799822080,69.05591171737,38.6225197713,55811987555262834,2406.172183,1043.0485,9.9317253,105.022,18.141606,9,2406.1725,618.63881,22.570455,27.4092,18.359949,2406.1726,506.66485,21.695894,23.353,17.986094,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178685757799822080,69.05591171737,38.6225197713,57829188840624707,2442.65557,1033.3801,6.5895458,156.821,18.151717,9,2442.6559,661.55597,17.577734,37.636,18.287126,2442.656,586.45314,17.754026,33.0321,17.827312,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178685757799822080,69.05591171737,38.6225197713,57838929657360984,2442.831745,1039.4426,13.243282,78.4883,18.145366,9,2442.8321,694.07989,23.868301,29.0796,18.235019,2442.8321,459.57602,22.713934,20.2332,18.092002,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178685757799822080,69.05591171737,38.6225197713,60118109693964520,2484.053099,1104.2645,6.1965713,178.206,18.079684,9,2484.0534,741.62528,18.807604,39.4322,18.163081,2484.0535,515.23996,18.910639,27.246,17.967872,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178685757799822080,69.05591171737,38.6225197713,60131942999282314,2484.303285,1103.1934,7.5252403,146.599,18.080738,9,2484.3036,751.92372,20.821265,36.1133,18.148108,2484.3037,750.49021,19.775426,37.9506,17.559533,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178685757799822080,69.05591171737,38.6225197713,60145776165007838,2484.553468,1100.4569,8.8819674,123.898,18.083434,9,2484.5538,747.257,19.279648,38.7589,18.154867,2484.5539,510.57326,18.567006,27.499,17.97775,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178685757799822080,69.05591171737,38.6225197713,60149868445483896,2484.627451,1109.5502,7.8044367,142.169,18.074499,8,2484.6278,775.51157,19.343829,40.0909,18.114572,2484.6279,543.01988,18.15812,29.9051,17.910856,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178685757799822080,69.05591171737,38.6225197713,60159609209235143,2484.803648,1104.8127,7.0798944,156.049,18.079145,9,2484.804,722.70199,18.513191,39.0371,18.191144,2484.804,762.34347,20.906656,36.4642,17.542519,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
178685757799822080,69.05591171737,38.6225197713,60177534372319691,2485.127837,1095.9739,12.541765,87.3859,18.087866,9,2485.1282,695.59232,18.101823,38.4266,18.232655,2485.1282,580.12054,18.765407,30.9144,17.8391,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178685757799822080,69.05591171737,38.6225197713,60288196554166498,2487.129239,1008.2893,4.4755618,225.288,18.178404,9,2487.1296,653.1831,17.502838,37.3187,18.300955,2487.1296,451.50755,18.063302,24.9958,18.111233,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178685757799822080,69.05591171737,38.6225197713,60297937231156355,2487.30542,989.72072,8.1954602,120.765,18.198585,8,2487.3057,789.3678,18.328248,43.0684,18.095344,2487.3058,492.15818,19.165043,25.68,18.017634,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
178685757799822080,69.05591171737,38.6225197713,60302029475198700,2487.379417,993.24832,6.2397207,159.182,18.194722,9,2487.3797,701.35588,18.514085,37.8823,18.223696,2487.3798,545.74014,18.20873,29.9713,17.905431,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178685757799822080,69.05591171737,38.6225197713,60311770216276283,2487.555585,997.15006,8.3406622,119.553,18.190466,9,2487.5559,156314.32,194.28501,804.562,12.353545,2487.556,114254.09,166.33896,686.875,12.103216,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1
178685757799822080,69.05591171737,38.6225197713,60315862489940754,2487.629568,991.28901,7.9306631,124.994,18.196866,8,2487.6299,558.72897,19.311407,28.9326,18.470539,2487.63,530.70675,18.098562,29.3231,17.935759,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178685757799822080,69.05591171737,38.6225197713,60325603309667288,2487.805737,1052.0672,8.1248134,129.488,18.132258,8,2487.8061,622.94415,19.433864,32.0546,18.352419,2487.8062,514.42456,18.587719,27.6755,17.969591,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178685757799822080,69.05591171737,38.6225197713,60329695617803547,2487.879777,1006.1514,13.98387,71.9509,18.180708,8,2487.8801,3272.8361,29.267636,111.824,16.551232,2487.8802,533.09451,18.351846,29.0485,17.930885,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
