Source,RA_ICRS,DE_ICRS,TransitID,TimeG,FG,e_FG,RFG,Gmag,NG,TimeBP,FBP,e_FBP,RFBP,BPmag,TimeRP,FRP,e_FRP,RFRP,RPmag,noisyFlag,SMuFlag,AF1uFlag,AF2uFlag,AF3uFlag,AF4uFlag,AF5uFlag,AF6uFlag,AF7uFlag,AF8uFlag,AF9uFlag,BPuFlag,RPuFlag,SMrFlag,AF1rFlag,AF2rFlag,AF3rFlag,AF4rFlag,AF5rFlag,AF6rFlag,AF7rFlag,AF8rFlag,AF9rFlag,BPrFlag,RPrFlag,GrVFlag,BPrVFlag,RPrVFlag
6456720612064924928,318.0201589856,-57.30044607022,17381629072793851,1711.185005,1299.8656,8.5347717,152.302,17.902621,9,1711.1853,823.49122,30.035546,27.4172,18.049395,1711.1854,689.2221,20.327975,33.9051,17.651998,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6456720612064924928,318.0201589856,-57.30044607022,17385721404253423,1711.259008,1260.7489,45.418476,27.7585,17.935795,9,1711.2593,797.76024,42.052165,18.9707,18.083861,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1
6456720612064924928,318.0201589856,-57.30044607022,19407418719868012,,,,,,0,1747.8182,919.52161,18.912987,48.6185,17.929637,1747.8183,697.44032,18.863529,36.9729,17.639128,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0
6456720612064924928,318.0201589856,-57.30044607022,21290124500177431,1781.863033,1297.3595,10.915328,118.857,17.904716,9,1781.8633,757.48268,37.407835,20.2493,18.14011,1781.8634,465.77513,35.671301,13.0574,18.077455,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6456720612064924928,318.0201589856,-57.30044607022,21299865309312071,1782.039178,1245.4471,9.6537887,129.011,17.949054,9,1782.0395,839.49827,51.088603,16.4322,18.028493,1782.0396,703.74074,22.166285,31.7482,17.629364,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6456720612064924928,318.0201589856,-57.30044607022,22267610667569672,1799.539218,1280.7394,8.5855791,149.173,17.918715,9,1799.5395,2868.6248,29.104022,98.5645,16.694358,1799.5396,633.44516,19.476457,32.5236,17.743623,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
6456720612064924928,318.0201589856,-57.30044607022,22271702953673929,1799.613192,1339.3913,6.5906035,203.227,17.870098,8,1799.6135,1481.2043,33.967886,43.606,17.412005,1799.6136,674.76507,21.987437,30.6887,17.675014,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
6456720612064924928,318.0201589856,-57.30044607022,27448372146390060,1893.230543,1319.0097,11.23387,117.414,17.886747,8,1893.2309,776.3507,37.850515,20.511,18.113397,1893.231,877.21788,31.630882,27.733,17.390127,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6456720612064924928,318.0201589856,-57.30044607022,30363872845682211,1945.959737,1298.6436,12.911804,100.578,17.903642,9,1945.96,906.05675,38.037915,23.8198,17.945654,1945.9601,630.96104,19.222546,32.824,17.747889,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6456720612064924928,318.0201589856,-57.30044607022,32625942208471192,1986.870818,1240.7754,8.8910248,139.554,17.953134,9,1986.8711,759.50133,18.375285,41.3328,18.137221,1986.8712,600.93789,18.253669,32.9215,17.800822,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6456720612064924928,318.0201589856,-57.30044607022,32630034550683368,1986.944718,1299.2572,28.439982,45.6842,17.903129,1,1986.9451,867.81912,18.707997,46.3876,17.992469,1986.9452,672.34264,19.205871,35.0071,17.678919,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0
6456720612064924928,318.0201589856,-57.30044607022,32639775392413160,1987.120997,1325.9973,58.588776,22.6323,17.88101,9,1987.1213,749.93323,18.568688,40.387,18.150986,1987.1214,568.96922,17.974068,31.655,17.860174,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6456720612064924928,318.0201589856,-57.30044607022,32643867664757761,1987.195008,1331.6228,4.365752,305.016,17.876414,9,1987.1953,880.33008,19.582405,44.9552,17.976928,1987.1954,614.92722,19.153808,32.1047,17.775836,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6456720612064924928,318.0201589856,-57.30044607022,33418404627653341,2001.202727,1300.7642,5.5086237,236.132,17.90187,9,2001.203,838.66695,18.789535,44.6348,18.029568,2001.2031,507.96211,18.246571,27.8388,17.983317,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6456720612064924928,318.0201589856,-57.30044607022,33428145369396672,2001.378889,1309.2755,9.6074933,136.276,17.894789,9,2001.3792,824.44371,22.818005,36.1313,18.04814,2001.3793,659.28698,21.257335,31.0146,17.700209,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6456720612064924928,318.0201589856,-57.30044607022,33432237661279431,2001.45292,1270.9528,9.7488789,130.369,17.927043,9,2001.4532,844.63101,23.001502,36.7207,18.021875,2001.4533,676.90903,18.325729,36.9376,17.67157,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6456720612064924928,318.0201589856,-57.30044607022,33441978530686792,2001.629036,1296.1469,9.1459716,141.718,17.905731,8,2001.6294,860.48876,21.160059,40.6657,18.001679,2001.6295,588.43038,20.889587,28.1686,17.823658,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6456720612064924928,318.0201589856,-57.30044607022,37146880240005871,2068.629904,1315.5953,11.444575,114.954,17.889561,9,2068.6302,882.19763,19.043146,46.3263,17.974627,2068.6303,717.52151,18.80123,38.1635,17.608308,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
