###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57321.535908 -18.848  0.485  -105   51 o  0   1.32  85.42017 -36.38005  5521.58  3176.41 4.43 3.89  -6.7 -0.462 17.88 18.63 02a57321o0510o
57321.565765 -21.233  5.444   -12   64 o  0   1.01  85.42017 -36.38005  6994.72  1740.33 4.82 3.64   6.4 -0.549 17.92 18.76 02a57321o0554o
57321.595499 -19.126  0.747   -81   61 o  0   1.25  85.42017 -36.38005  3633.48  8910.35 4.65 3.68 -66.4 -0.483 17.95 18.84 02a57321o0598o
57329.538641 -20.218  1.375   -30   41 o  0   0.96  85.42017 -36.38005  5559.17  3202.63 4.65 4.01 -16.9 -0.456 18.37 19.67 02a57329o0518o
57329.566264 -19.046  0.453   -87   40 o  0   1.17  85.42017 -36.38005  5167.65  7481.57 4.28 3.72 -72.5 -0.481 18.16 19.46 02a57329o0558o
57368.421932  19.943  0.571    38   22 o  0   0.81  85.42017 -36.38005  5288.72  3502.90 4.06 3.84 -21.2 -0.415 19.08 20.86 02a57368o0383o
57368.439159 -20.138  0.694   -32   22 o  0   0.92  85.42017 -36.38005  4989.89  2918.06 4.00 3.66 -18.4 -0.430 19.04 20.71 02a57368o0407o
57368.460083 -20.397  0.676   -25   17 o  0   1.57  85.42017 -36.38005  5053.94  6367.22 3.66 3.38 -76.3 -0.438 19.05 20.64 02a57368o0439o
57368.480515  20.205  0.692    30   21 o  0   1.22  85.42017 -36.38005  4758.77  8113.16 3.75 3.40 -79.0 -0.449 19.02 20.61 02a57368o0469o
57369.424703  20.795  1.524    18   27 o  0   0.74  85.42017 -36.38005  5287.54  3498.68 3.75 3.49 -18.2 -0.491 18.94 20.43 02a57369o0200o
57369.448801  20.508  0.963    23   22 o  0   1.28  85.42017 -36.38005  5928.13  7531.77 3.88 3.50 -81.3 -0.453 18.88 20.47 02a57369o0237o
57369.460385 -20.235  0.821   -29   24 o  0   0.86  85.42017 -36.38005  5051.77  6367.68 3.71 3.28 -78.2 -0.469 19.03 20.59 02a57369o0254o
57369.466421  21.515  2.583     9   23 o  0   1.32  85.42017 -36.38005  4751.75  8109.83 3.71 3.32 -79.3 -0.463 19.01 20.58 02a57369o0264o
57370.418189 -21.953  3.000    -6   18 c  0   1.05  85.42017 -36.38005  5286.46  3501.24 4.13 3.84 -23.7 -0.417 19.46 21.47 02a57370o0376c
57370.441424 -20.844  1.133   -17   19 c  0   0.86  85.42017 -36.38005  4986.50  2914.71 4.68 4.19 -10.8 -0.374 19.31 21.40 02a57370o0411c
57370.454323 -20.361  0.636   -26   17 c  0   1.07  85.42017 -36.38005  5048.06  6365.74 4.00 3.71 -73.7 -0.405 19.45 21.47 02a57370o0430c
57370.460351   0.000 20.808     0   17 c  0   1.06  85.42017 -36.38005  4747.57  8107.93 4.06 3.72 -75.9 -0.413 19.42 21.44 02a57370o0440c
57373.418264   0.000 20.461    -0   24 c  0   0.98  85.42017 -36.38005  5282.64  3500.52 5.90 5.46 -23.7 -0.365 19.19 21.69 02a57373o0105c
57380.396232  19.717  1.255    47   59 o  0   0.90  85.42017 -36.38005  5252.18  3510.16 3.83 3.55 -22.2 -0.490 18.06 18.80 02a57380o0285o
57380.414226  18.844  0.606   105   64 o  0   1.37  85.42017 -36.38005  5746.25  7770.30 3.73 3.21 -83.4 -0.488 18.00 18.72 02a57380o0311o
57380.433053 -19.807  1.600   -43   69 o  0   1.24  85.42017 -36.38005  4870.06  6605.88 4.04 3.50 -75.5 -0.474 18.05 18.80 02a57380o0338o
57380.438652  21.428  9.917    10   97 o  0   1.21  85.42017 -36.38005  4567.57  8348.68 3.90 3.41 -77.6 -0.471 18.07 18.78 02a57380o0347o
57397.366194 -21.795  2.167    -7   15 c  0   1.38  85.42017 -36.38005  4792.96  6540.44 3.81 3.61 -77.0 -0.408 19.46 21.47 02a57397o0265c
57397.383008  20.590  0.796    21   17 c  0   0.84  85.42017 -36.38005  4526.18  8286.35 3.85 3.61 -82.8 -0.421 19.51 21.53 02a57397o0285c
57404.364815  20.295  0.987    28   27 o  0   1.08  85.42017 -36.38005  5448.20  7182.45 3.56 3.22 -89.0 -0.473 18.74 19.98 02a57404o0292o
57404.381768 -20.016  0.735   -36   26 o  0   1.27  85.42017 -36.38005  5742.76  7765.44 3.52 3.18  87.4 -0.478 18.76 20.02 02a57404o0320o
57404.398731  19.702  0.586    48   28 o  0   1.28  85.42017 -36.38005  4863.52  6599.50 3.54 3.22 -85.5 -0.470 18.76 20.02 02a57404o0348o
57404.415707 -19.980  0.792   -37   29 o  0   1.01  85.42017 -36.38005  4562.65  8340.37 3.57 3.31 -87.3 -0.471 18.73 20.01 02a57404o0376o
57405.364896  21.389  2.815    10   28 o  0   1.21  85.42017 -36.38005  5448.28  7178.97 3.56 3.24 -89.5 -0.472 18.65 19.83 02a57405o0266o
